#what,what,,,,,,,,,,,,,
#as,molm,,,,,,,,,,,,,
#abs,alliumsm,,,,,,,,,,,,,
#bs,gunggmhajianm,,,,,,,,,,,,,
#organism part,whole organism,,,,,,,,,,,,,
#compound,,,indole-3-acetic acid,indole-3-acetic acid,,,indole-3-acetic acid,indole-3-acetic acid,,,,,,
Gene ID,Gene Name,DesignElementAccession,Quint_2-71_Col-0-3h_Rep2_ATH1,Quint_2-67_Col-0-1h_Rep1_ATH1,Quint_2-62_Col-0-0h_Rep2_ATH1,Quint_2-61_Col-0-0h_Rep1_ATH1,Quint_2-66_Col-0-30min_Rep3_ATH1,Quint_2-72_Col-0-3h_Rep3_ATH1,Quint_2-70_Col-0-3h_Rep1_ATH1,Quint_2-65_Col-0-30min_Rep2_ATH1,Quint_2-69_Col-0-1h_Rep3_ATH1,Quint_2-64_Col-0-30min_Rep1_ATH1,Quint_2-63_Col-0-0h_Rep3_ATH1,Quint_2-68_Col-0-1h_Rep2_ATH1
AT1G01840,,261539_at,4.54411599,4.38864651,4.678743087,4.455029674,4.609904896,4.287605445,4.489858304,4.451596812,4.460547366,4.511593191,4.693855863,4.556172119
AT1G01860,PFC1,261652_at,5.970516208,5.739513697,5.731966714,6.047418368,6.002088692,5.955464728,5.843828581,5.966728028,6.160122989,5.953936068,6.151705428,5.965222641
AT1G01900,SBTI1.1,261653_at,6.048511515,6.398857615,6.281419015,6.212362959,6.26776648,6.243345836,6.087263878,6.41619997,6.191313097,6.420203734,6.031657686,6.37724311
AT1G01910,,261627_at,8.088038504,8.066121442,8.101312477,8.094936657,7.951686016,7.840197288,8.120865914,8.071859822,8.139560481,8.081325048,8.115184717,8.186169303
AT1G01920,,261654_at,5.259948221,5.210557766,5.38847104,5.295573812,5.456081736,5.136119796,5.365673436,5.348498099,5.247372011,5.214001757,5.199605441,5.378636903
AT1G01930,,261625_at,5.462800441,5.563766028,5.750080849,5.62368984,5.531705444,5.882414272,5.793080521,5.567154155,5.350398089,5.32143979,5.491517377,5.57723712
AT1G01940,CYP18-1,261655_at,7.870268109,7.50753326,7.723452424,7.606588684,7.452737406,7.692418028,7.749811487,7.515806498,7.567330845,7.616213428,7.62819703,7.445167915
AT1G01950,ARK2,261656_at,6.054909361,6.305679604,6.018281599,6.133609523,6.128366852,5.868139326,5.91672759,6.217879327,6.309127066,6.112408394,5.937125516,6.195623318
AT1G01960,BIG3,261621_at,8.092951384,7.848869395,8.100543043,8.19947593,7.802611204,7.785944869,8.019212823,8.009965169,8.053274835,7.850618921,8.125159432,8.064522683
AT1G01970,,261622_at,7.016835658,6.880011715,7.296222922,7.39285356,7.130242293,6.900112196,6.657951447,6.959723183,6.906993487,7.120091842,7.180107292,7.076525662
AT1G01980,SEC1A,261623_at,3.065319483,3.025191484,3.000995453,3.089494973,3.006283064,2.969329062,2.811773959,2.841267894,2.918688791,3.008432667,2.698252204,2.969253104
AT1G01990,,261626_at,6.592924546,6.534804238,6.582355462,6.770271778,6.512602468,6.705388264,6.424491038,6.509718019,6.457754262,6.657796859,6.753175401,6.371691193
AT1G02000,GAE2,261624_at,5.513181979,5.382253791,5.371806636,5.489882431,5.377663161,5.321238355,5.680870058,5.33380164,5.40593121,5.302041723,5.348166377,5.468476859
AT1G02020,,264169_at,5.444800141,5.734292658,5.665226986,5.679987077,5.615488097,5.516385807,5.437539588,5.642111925,5.431729678,5.791444427,5.458707772,5.311895292
AT1G02050,PKSA,264175_at,3.719558329,3.56885389,3.869227434,3.97135476,3.731659853,3.806201987,3.776195539,3.951360769,3.888675142,4.027218425,4.083268011,3.82964878
AT1G02060,,264167_at,3.474698583,3.418643763,3.50861712,3.572947885,3.3631234,3.90761828,3.304735077,3.603285284,3.377302098,3.542839511,3.617956467,3.324890564
AT1G02070,,264151_at,3.517715179,3.267271669,3.214575782,3.280327014,3.433535149,3.322629305,3.390902511,3.441543005,3.260790951,3.406419124,3.682887934,3.399682779
AT1G02080,,264168_at,8.804203477,8.555950856,8.64409296,8.675495598,8.543415374,8.607538529,8.773394201,8.608177532,8.587134114,8.599911518,8.64144394,8.664831337
AT1G02090,CSN7,264150_at,6.907760291,6.951021132,6.875910392,6.787488772,6.784471173,7.081252134,6.997093354,6.828783634,6.7794439,6.973920198,6.665612059,6.771867874
AT1G02100,,264171_at,7.115607461,7.09291983,7.270321353,6.91436239,7.065769396,7.132280104,6.977536268,7.096104963,7.013589962,7.187551011,7.298973528,7.094616825
AT1G02110,,264176_at,6.639316642,6.430459357,6.628877361,6.81152929,6.550533072,6.287635677,6.51061037,6.716513347,6.529436644,6.660000681,6.928191819,6.617524626
AT1G02120,VAD1,264172_at,7.230736039,7.295276197,7.415863148,7.574274232,7.251258125,7.388520647,7.341971985,7.360646735,7.391313356,7.138633104,7.436671397,7.148769272
AT1G02130,RABD2A,264122_at,8.181373183,8.015475441,8.301576036,8.141496974,8.068650627,7.906959372,8.070982551,8.092980845,8.029366299,8.067573193,8.190171032,8.086516094
AT1G02140,MEE63,264152_at,10.19434374,10.21517602,10.20152119,10.25414952,10.15459426,9.788165713,10.19737527,10.20311902,10.15277407,10.14681438,10.22624607,10.17133351
AT1G02150,,264177_at,8.283085934,8.306114024,8.676721373,8.784344043,8.558395872,8.533474253,8.2736315,8.510433668,8.481093995,8.407725716,8.666536085,8.415835191
AT1G02160,,264173_at,7.721663165,7.543319668,7.884287255,7.434948982,7.663747532,7.901513381,7.581881928,7.467998749,7.381296877,7.417386419,7.636857794,7.520887055
AT1G02170,AMC1,264178_at,7.80520082,7.639325712,7.743486591,7.642560436,7.648914078,7.777570192,7.790418501,7.557171205,7.546279977,7.680489205,7.613265208,7.56035494
AT1G02180,,264179_at,5.03497937,5.03546642,5.394220185,5.179055622,5.032787754,4.913156257,4.8651707,5.14313491,4.768646955,5.285377834,5.215089389,5.055711759
AT1G02190,,264180_at,3.231589431,3.16806267,3.358591082,3.381727855,3.308824583,3.201132923,3.324821926,3.17588759,3.3129313,3.434088365,3.387190324,3.318360774
AT1G02205,CER1,264146_at,6.753965657,6.94763909,6.665416508,6.667459861,6.942730896,7.190466633,6.972816954,6.781282666,6.648598084,6.977605042,6.61647328,6.700942398
AT1G02205,CER1,264147_at,4.314111397,5.233452974,4.022959976,4.527281119,4.859758308,5.317872931,5.238109764,5.010917849,4.962483605,4.540933879,4.436109876,5.145183721
AT1G02220,NAC003,264148_at,3.768154118,4.07918911,4.318411631,4.080159571,3.918055987,3.738511139,3.682483181,4.373509102,3.999126471,4.250103849,4.505098439,4.165166743
AT1G02250,NAC005,264149_at,3.055968119,2.930703886,2.964931851,2.97981706,2.789646833,2.801371791,3.053858528,2.876178712,2.970838968,2.894149568,2.842241178,2.907278524
AT1G02260,,264170_at,6.122411684,5.93098681,6.230172811,5.950944367,5.931940175,5.987424333,6.128382499,5.873315081,5.802349961,5.912810623,6.019022663,5.772629097
AT1G02270,,264123_at,7.081728918,6.97754135,6.859114002,6.866444183,7.246884379,7.253802709,7.167198058,7.224340102,7.225542805,7.254910929,6.661906856,6.982256441
AT1G02280,TOC33,264121_at,8.627116703,8.593875226,8.855616698,8.906720459,8.855895577,8.514389183,8.507688141,8.812669463,8.746857603,8.578389366,8.960306918,8.841946701
AT1G02300,CATHB1,259441_at,5.689688222,4.948023187,6.082423721,5.942256143,5.284030693,6.046109899,5.302860219,5.040950389,4.758470326,5.636678538,5.777668718,4.823125652
AT1G02305,CATHB2,259416_at,9.007477969,9.219935781,9.198869752,9.202425414,9.312930333,9.075121977,9.110014604,9.387346465,9.292204613,9.174731511,9.238486183,9.094887753
AT1G02310,MAN1,259442_at,3.476319549,3.406899642,3.221637395,3.372998976,3.67661817,3.40081627,3.316600533,3.606654504,3.351411045,3.867250613,3.283639942,3.610411964
AT1G02320,,259413_at,2.330949433,2.422778663,2.526367966,2.614597452,2.459584747,2.42871013,2.459441949,2.37036347,2.541648173,2.482259355,2.484009906,2.481395968
AT1G02330,,259415_at,7.123661833,7.254008915,7.33506365,7.25268816,7.237007617,7.007673121,7.161837805,7.029449893,7.20101728,7.11113454,7.142519249,7.284859311
AT1G02340,HFR1,259417_at,3.560513549,3.603069109,3.968509163,4.319168515,4.541492608,3.645134615,3.743048783,4.186580157,4.164056036,4.082790456,4.142995015,3.846424362
AT1G02360,,259443_at,6.189678669,7.20851063,5.694806558,5.114165998,6.515910576,6.138454219,6.269405582,6.761286702,7.137183421,6.723431069,5.252481494,7.090773535
AT1G02370,,259444_at,5.587698269,5.335788281,5.461937615,5.176489017,5.534042327,5.337812339,5.503974044,5.048129796,5.001165898,5.187039882,5.361902326,5.659600057
AT1G02390,GPAT2,259418_at,4.826030537,4.669258835,4.091784627,4.230834607,5.026238131,4.624754852,4.285243797,5.165571258,4.658897633,5.070180294,4.014463304,4.731198232
AT1G02400,GA2OX6,259445_at,7.086886543,7.6575432,6.116165385,6.060180204,7.394442203,7.319064902,6.951905634,7.344495225,7.429454769,7.324918046,5.58893632,7.301794217
AT1G02410,COX11,259446_at,7.176950333,7.078390322,6.8830548,6.998884454,7.015009934,7.471939617,6.960647672,7.014653552,6.831201258,6.72560362,6.855618834,6.982634915
AT1G02420,,259414_at,3.865712524,3.777112282,4.056889333,3.944676359,3.876212155,3.847135754,3.94425283,3.693397114,3.778336238,3.689158068,3.887891343,3.681221077
AT1G02450,NIMIN-1,260904_at,3.928992261,3.70734216,3.952147323,3.65248483,3.779035325,3.6427193,3.712755104,3.828201749,3.623686395,4.044362444,4.006888214,3.882850371
AT1G02460,,260903_at,4.916150869,4.811808383,5.098376054,5.167328715,4.964620868,4.537760286,5.002967264,4.66350774,5.130160331,4.739844428,4.973387144,4.700819442
AT1G02470,,260933_at,5.604639333,5.11762784,4.655230778,4.806131685,4.810140479,5.872106823,5.760777882,4.617638228,5.226182967,5.038335307,4.687301952,4.86044317
AT1G02475,,260916_at,8.246772007,7.999789082,7.919831447,7.922939375,8.221303243,8.486877777,8.032032575,8.051859947,7.781851483,8.124517727,7.984490115,7.927317103
AT1G02490,,260911_at,3.20746059,2.916576587,2.909302345,2.856109602,2.865515633,3.020244235,2.855534969,2.899280928,2.754938882,2.854873574,2.864404751,2.671101758
AT1G02500,SAM1,260913_at,10.86988928,10.95627489,11.08484455,11.05519823,10.91420822,10.78608339,10.88095869,10.94743601,11.08271961,10.87050841,11.05023635,10.87551977
AT1G02540,,260906_at,2.879114355,2.916576587,2.794306609,2.84799294,2.874118128,2.794075605,3.008473891,2.881508936,2.86294565,3.023638866,2.882681193,2.944109191
AT1G02550,,260931_at,3.649469469,3.519022548,3.571780336,3.746477074,3.734120196,3.608074415,3.582217089,3.477899258,3.328260467,3.41101229,3.555373135,3.727484702
AT1G02560,CLPP5,260912_at,9.894259649,9.967368382,9.75401414,9.923306622,10.00744224,10.07698938,9.781061321,9.994548275,9.833189237,9.953159735,9.855299477,9.944056402
AT1G02575,,260907_at,3.403423026,3.469489318,3.404218297,3.604255773,3.369667067,3.30849326,3.346839657,3.432722711,3.486395143,3.253123028,3.375294034,3.319741323
AT1G02580,MEA,260908_at,4.003360643,4.044715898,4.185406234,3.975005899,4.157348579,3.888833171,4.180710538,4.07333056,4.350832912,4.157348579,4.287739274,4.19293593
AT1G02620,,260930_at,5.021273134,5.054144336,4.89478519,4.988581236,5.001811871,4.959758371,4.929855287,4.922892492,5.163281353,4.893883241,5.159059161,5.131588284
AT1G02640,BXL2,260914_at,7.699360596,7.983626082,7.864907007,8.146015827,8.044437848,7.346733547,7.691985368,8.220834737,7.921218223,7.895319017,8.113380243,8.082251399
AT1G02660,,260915_at,6.50377693,6.78385052,5.419697198,5.71936287,6.921403828,7.061030801,6.619452481,6.566152875,6.583524863,6.726635556,5.530774063,6.698674391
AT1G02670,,260909_at,4.014702043,3.905294906,3.90036819,4.018036382,3.834552425,3.759139445,3.719151764,3.778302138,3.830445813,3.967078597,4.149017192,3.801819116
AT1G02680,TAF13,260929_at,5.749595365,5.641497505,5.980199473,5.908762974,5.574786844,5.812049108,5.846612199,5.548607494,5.779925193,5.565806236,5.686021689,5.701691444
AT1G02690,IMPA-6,260910_at,7.094803221,6.871171324,6.831915975,6.628304538,6.75768868,6.632127072,7.305258298,7.004715944,6.798345496,6.82859479,7.03454497,6.992382541
AT1G02700,,260917_at,4.106517538,4.138278081,4.304406331,4.043518353,4.035417532,4.086876938,4.08059384,4.489471479,4.260353944,4.114956301,4.147544641,4.631213588
AT1G02710,,260905_at,3.821711785,3.697394347,3.895735284,3.939306486,3.771782737,3.604545585,4.057955526,3.622507393,3.542842714,3.726771946,3.84471959,3.696967359
AT1G02720,GATL5,260928_at,5.872913855,5.762875098,5.849425212,5.787574835,5.795576349,5.833281133,5.687912276,5.931140831,5.800266549,6.109984123,5.703923256,5.72764107
