#what,what,,,,,,,
#age,2 (week),,,,,,,
#organism part,aerial part,,,,,,,
#dose,20 micromolar,,,,,,,
#development stage,seedling,,,,,,,
#compound,,,DMSO,DMSO,t-zeatin,t-zeatin,DMSO,t-zeatin
Gene ID,Gene Name,DesignElementAccession,NASCArrays:Tab2MAGE:E-NASC-75.20.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.17.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.32.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.38.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.13.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.35.Hybridization
AT1G01725,,261535_at,4.971266804,5.024993518,6.299351779,6.277779977,5.368856164,6.286807814
AT1G01730,,261561_at,7.453078226,7.348291224,7.044919672,6.968530464,7.506629431,7.286395141
AT1G01740,,261591_at,6.823802771,6.892921147,6.50531942,6.416387906,6.703756551,6.141361981
AT1G01750,ADF11,261562_at,3.747465241,3.651511804,3.765162582,3.781235891,3.967516798,3.759227316
AT1G01760,,261592_at,5.328049357,5.437409664,5.130963209,5.255661836,5.02208549,5.021436688
AT1G01770,,261558_at,6.999094689,6.832562306,6.510243815,6.475229451,7.149032775,6.421185315
AT1G01780,PLIM2B,261559_at,6.390459994,6.215838526,6.003970806,6.082222709,6.626063596,6.272184004
AT1G01790,KEA1,261536_at,10.53252104,10.49396257,10.02204707,9.805695582,10.59797518,9.774809676
AT1G01800,,261537_at,9.925895301,9.933137036,9.648120769,9.621684173,9.772120043,9.743047493
AT1G01820,PEX11C,261534_at,7.24237608,7.333474067,8.424479627,8.534704009,7.051687989,8.682095954
AT1G01830,,261538_at,6.336700502,6.420489552,6.241168784,6.322283714,5.996050229,6.335424187
AT1G01840,,261539_at,5.965257574,5.99522546,5.531966434,5.60816277,5.820169509,5.524657163
AT1G01860,PFC1,261652_at,6.603636512,6.43752378,7.18345046,7.38669351,6.54671066,7.337536482
AT1G01900,SBTI1.1,261653_at,8.354755316,8.112156076,8.279352874,8.241644036,8.644736511,8.262981557
AT1G01910,,261627_at,8.362707835,8.458532571,9.121586815,9.173481267,8.078395629,8.836549319
AT1G01920,,261654_at,5.435351976,5.688093221,5.460721239,5.344510491,5.673907228,5.501808648
