.,.,.,.,.,.,.,.,.,.,.,.
#age,5(week),.,.,.,.,.,.,.,.,.,.
#tissue,leaf,.,.,.,.,.,.,.,.,.,.
#compound,.,.,1-naphthylacetic acid,1-naphthylacetic acid,none,none,1-naphthylacetic acid,1-naphthylacetic acid,none,1-naphthylacetic acid,1-naphthylacetic acid
Gene ID,Gene Name,DesignElementAccession,GSM435954,GSM435939,GSM435933,GSM435948,GSM435940,GSM435938,GSM435963,GSM435969,GSM435968
AT1G01130,,261575_at,5.326378405,5.366291674,5.327546651,5.691961198,5.591743207,5.407793114,5.373580783,5.150501662,5.070832663
AT1G01140,CIPK9,261581_at,10.01369148,10.24461309,11.00383371,10.6428603,9.822468486,10.79076808,11.14545861,10.73065855,10.70320086
AT1G01150,,261571_at,3.52728413,3.438380206,3.604152083,4.132099894,3.548140924,3.57643685,3.521340641,3.442389012,3.424425418
AT1G01160,GIF2,261582_at,8.570607279,8.778228727,8.625231888,9.197914595,8.140092611,8.597111601,9.029537471,8.907499765,8.800934049
AT1G01170,,261572_at,11.92850384,11.94289066,11.79681103,11.7028966,10.89701592,11.72018028,11.7564848,11.82087639,11.6566747
AT1G01190,CYP78A8,261574_at,4.655258197,4.67924648,4.849235028,6.129122638,4.866379223,4.957315083,5.017251342,4.819283882,4.577984377
AT1G01200,RABA3,261042_at,5.170215554,5.148634813,5.23049845,6.063340289,5.379527343,5.284037669,5.305663977,5.191677201,5.395566174
AT1G01220,FKGP,261043_at,7.76608439,7.776044818,7.344391216,8.906188974,6.853911151,7.50338621,7.858765939,8.136918788,7.798791925
AT1G01225,,261025_at,5.283277969,5.130315059,4.883844685,6.32954355,5.62061596,5.049468259,5.045493985,5.036477031,5.234212907
AT1G01230,,261057_at,11.28838711,11.4388267,11.27201068,11.660819,11.2226267,11.45910593,11.16044443,11.02364258,11.39403996
AT1G01240,,261026_at,10.88180819,11.05781492,10.73366632,11.13439783,9.321019839,10.8100802,10.90976542,10.84543048,11.0142273
AT1G01250,ERF023,261059_at,5.756881485,6.17595599,5.799819522,6.606549453,6.068958106,5.485618194,5.659478123,5.108691045,6.08899296
AT1G01260,BHLH13,261050_at,7.408737175,7.351099642,7.330558707,8.379616208,9.053836262,7.632425329,7.388455292,7.697337304,7.558997203
AT1G01280,CYP703A2,261051_at,3.899901891,4.145001022,4.098951617,4.878538497,3.968746477,4.111163802,4.031820947,4.073974359,4.132926872
AT1G01290,CNX3,261044_at,8.191440256,8.309407167,7.884460645,8.819187094,7.236791954,7.944105968,8.041168441,8.247046374,8.111418625
AT1G01300,APF2,261055_at,8.18209772,8.56089936,8.048102802,9.346267948,7.779470416,7.737843451,7.634096629,8.125356173,7.501630462
AT1G01310,,261045_at,3.690004893,3.838528437,3.925421045,4.974844377,3.848176661,4.064317978,3.882378892,3.816061337,3.946421755
AT1G01320,,261053_at,9.089337938,8.808428233,9.016440678,9.820943093,8.415758629,9.594084876,9.3155901,9.504970559,8.832384628
AT1G01320,,261054_at,5.441152534,5.6747579,5.425696914,6.83051635,5.434221803,5.928867413,5.570204897,5.827038349,5.586976983
AT1G01340,CNGC10,261027_at,8.700087489,7.845731976,8.640310916,9.921014684,9.897574107,8.183106504,8.333589134,8.291661936,8.316949734
AT1G01360,PYL9,261056_at,8.62853398,8.722329027,8.608308305,9.269240673,7.9552426,8.643898925,8.661460299,8.515291222,8.576392408
AT1G01370,HTR12,261058_at,4.593000426,4.592223416,4.581471449,5.273673058,4.786387897,4.549746522,4.4757836,4.128747779,4.592763752
AT1G01380,ETC1,257490_x_at,3.493787309,3.464377847,3.653706694,4.624991649,3.628485508,3.496734707,3.830491706,3.668203665,3.74996678
AT1G01390,,261046_at,4.769014867,4.83583656,5.377539473,5.881903432,5.062098148,4.959233178,4.958671818,4.813871596,4.90111543
AT1G01410,APUM22,261047_at,3.966336424,3.730437248,3.763621223,4.938308203,3.999066823,3.910720332,3.898802531,3.713804048,3.75153897
AT1G01420,UGT72B3,261048_at,6.920339722,7.919020714,8.299817282,7.966225468,6.228170449,7.922613473,7.860302722,8.124277925,7.579815885
AT1G01430,TBL25,261049_at,8.729218653,9.411223076,9.772022462,9.285422635,7.728417628,9.585083223,9.236881471,8.829191697,9.088224729
AT1G01440,,261052_at,6.720424361,6.599125237,6.470734082,7.518557,7.419602826,6.43505758,6.517704517,6.344488337,6.512817623
