#age,7 (day),,,,,,,
#ecotype,Col-0,,,,,,,
#development stage,seedling,,,,,,,
,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,H_iaa1GR-IAA-1,H_iaa1GR-IAA-2,H_iaa1GR-IAA-3,H_iaa1GR-Mock-2,H_iaa1GR-Mock-1,H_iaa1GR-Mock-3
AT1G01860,PFC1,261652_at,6.507724187,6.489526631,6.921096026,6.443354528,6.524152481,7.160848793
AT1G01900,SBTI1.1,261653_at,6.061118724,6.333491276,6.452581461,6.553555826,6.015639405,6.8107002
AT1G01910,,261627_at,8.787755367,8.865221978,8.55321154,8.752879531,8.678343543,8.532158551
AT1G01920,,261654_at,5.898654299,5.643447594,5.6505084,5.67827077,5.874374971,5.681767761
AT1G01930,,261625_at,6.987754136,7.039026664,6.90629149,7.069285123,6.935647057,6.961538653
AT1G01940,CYP18-1,261655_at,8.063113668,8.329666206,7.864124231,8.21566465,8.015202869,7.736966955
AT1G01950,ARK2,261656_at,6.918150813,6.798059666,7.109588564,6.720178391,6.802328473,6.708231554
AT1G01960,BIG3,261621_at,8.880091668,8.948941117,8.892459459,8.851129153,8.836210448,8.673589482
AT1G01970,,261622_at,8.060276946,7.748286366,8.173090854,7.864767571,8.042022454,8.304687357
AT1G01980,SEC1A,261623_at,3.554737873,3.554737873,3.513230451,3.533865985,3.450399516,3.554737873
AT1G01990,,261626_at,7.686370846,7.636297669,7.39697971,7.560086024,8.00242707,7.255914179
AT1G02000,GAE2,261624_at,6.365489332,6.262770947,6.524249279,6.499734949,6.268667756,6.268873736
AT1G02020,,264169_at,6.701870773,6.434242377,6.553098225,6.51798309,6.689509236,6.394218093
AT1G02050,PKSA,264175_at,5.944047361,5.214405089,4.991344546,5.279946827,5.778324526,4.999755102
AT1G02060,,264167_at,4.732672424,4.68493407,4.492228851,4.135875223,5.066591908,4.287373205
AT1G02070,,264151_at,3.789085726,3.868691538,3.982847079,3.863471344,3.98587974,3.868691538
AT1G02080,,264168_at,8.88681156,9.047914245,8.978198701,8.96611129,8.926098022,9.066904018
AT1G02090,CSN7,264150_at,8.141763237,8.259164787,8.15577484,8.41611448,7.97166754,8.012217392
AT1G02100,,264171_at,7.584018689,7.19881902,7.04353992,7.298059827,7.663211871,7.353704193
AT1G02110,,264176_at,7.269993439,7.21436728,6.882817343,7.165142013,7.168950653,6.773313854
AT1G02120,VAD1,264172_at,8.767336308,8.28737581,8.036690606,8.28737581,8.933048436,8.110133045
AT1G02130,RABD2A,264122_at,8.683524532,8.836640637,8.911935142,8.98173037,8.722023224,8.811224835
AT1G02140,MEE63,264152_at,10.50223367,10.18633133,10.18061645,10.28940981,10.63736512,10.22506375
AT1G02150,,264177_at,9.150986692,9.723530236,9.970145047,9.658816658,9.270492091,9.97961481
AT1G02160,,264173_at,8.529114795,8.452331042,8.190884498,8.317876083,8.399682642,8.281592218
AT1G02170,AMC1,264178_at,8.049871408,7.78479459,7.729538689,7.640339352,8.023840687,7.781698405
AT1G02180,,264179_at,5.918972218,5.787470743,6.338989908,5.829963355,6.132907347,6.138176586
AT1G02190,,264180_at,3.898929127,3.763634751,3.458274005,3.509494894,3.541998188,3.468373504
AT1G02205,CER1,264146_at,6.953072141,7.112996138,7.996101126,6.944720735,6.789955204,7.671657083
AT1G02205,CER1,264147_at,5.601374437,6.121266062,6.854864016,6.121266062,5.647855645,6.741445817
AT1G02220,NAC003,264148_at,4.858763317,4.989929572,4.791894784,5.768462993,4.51976805,5.65045694
AT1G02250,NAC005,264149_at,2.998428206,3.114095579,3.114095579,3.117445475,3.139583668,3.132103051
AT1G02260,,264170_at,7.527333971,6.827547587,6.291102744,6.990967341,7.337857458,6.429100421
AT1G02270,,264123_at,7.784174058,7.778384374,7.675436349,7.810675554,7.626680473,7.871114069
AT1G02280,TOC33,264121_at,8.745989533,9.467318392,8.995499425,9.308610317,8.959227311,9.322188902
AT1G02300,CATHB1,259441_at,6.847039065,5.569613118,5.638691898,5.945711808,7.133085061,6.350886309
AT1G02305,CATHB2,259416_at,9.083773051,8.931869653,8.579871041,9.278614534,9.328299468,9.182875467
AT1G02310,MAN1,259442_at,3.768438115,3.823784374,4.750077082,3.798355511,3.688042212,4.568513782
AT1G02320,,259413_at,2.629677101,2.580066041,2.728257818,2.621501985,2.62320217,2.545522929
AT1G02330,,259415_at,6.841044419,7.460579787,7.393760463,7.713324741,6.69696267,7.517970225
AT1G02340,HFR1,259417_at,4.540163378,4.526740047,6.221386261,4.506710011,4.751513499,5.796749641
AT1G02360,,259443_at,8.663579228,8.828994432,8.649413533,9.083319789,8.483973813,8.609690257
AT1G02370,,259444_at,6.219095966,6.767145269,6.479260284,6.938290482,6.267170443,6.061570469
AT1G02390,GPAT2,259418_at,3.841090337,4.0154476,3.891518681,4.281614374,4.427793177,4.579863433
AT1G02400,GA2OX6,259445_at,9.025278801,8.52629004,7.929934271,7.170705054,8.238508291,7.039233627
AT1G02410,COX11,259446_at,7.370546052,7.723378032,7.885979846,7.640586386,7.153666116,7.977721402
AT1G02420,,259414_at,5.633094394,5.483582681,5.340706312,5.407193477,5.390282666,5.247266253
AT1G02450,NIMIN-1,260904_at,3.230291268,4.055967798,3.4863076,3.531753171,3.321441411,3.4863076
AT1G02460,,260903_at,5.288981556,5.523064129,5.655870158,5.763592242,5.456370968,5.821626439
AT1G02470,,260933_at,5.340706312,4.682115632,4.784573753,5.627027131,4.959505651,5.201221051
AT1G02475,,260916_at,8.57884519,8.503576378,8.617607906,8.703641734,8.132975674,8.935785204
AT1G02490,,260911_at,3.570563594,3.627927989,3.543171749,3.572467456,3.380304741,3.362211302
AT1G02500,SAM1,260913_at,11.71533517,11.64190093,11.45136076,11.80238879,11.74988674,11.63719815
AT1G02540,,260906_at,3.048493993,3.114095579,3.094857881,3.195159164,2.93565419,3.121892714
AT1G02550,,260931_at,4.298584547,4.203420793,4.445044576,4.298584547,4.298584547,4.439746774
AT1G02560,CLPP5,260912_at,10.46643218,10.64774764,10.64774764,10.67022645,10.58924893,10.735687
AT1G02575,,260907_at,4.35033858,4.270512994,4.1946723,4.445016638,4.21104098,4.270512994
AT1G02580,MEA,260908_at,4.085600305,4.044939779,4.206119829,4.035786623,4.110161825,4.136441818
AT1G02620,,260930_at,5.062380032,4.782629307,5.348748528,5.222153775,5.084495475,5.20048852
AT1G02640,BXL2,260914_at,8.304353804,8.150623849,7.717862343,7.533973381,8.467556918,7.795006684
AT1G02660,,260915_at,6.292299079,6.916596747,6.950342614,5.281297524,5.9091213,4.948872383
