#organism part,guard cells,,,,,,,,,,,,,
#geno type,wild type,,,,,,,,,,,,,
#compound,,,abscisic acid,control,control,abscisic acid,control,control,control,abscisic acid,control,abscisic acid,abscisic acid,abscisic acid
#dose,50?(micromolar),,,,,,,,,,,,,
#ecotype,Col-0,,,,,,,,,,,,,
#sample_source,,,"Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, abscisic acid treatment","Columbia wild-type leaves, no treatment","Columbia wild-type leaves, no treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, abscisic acid treatment","Columbia wild-type leaves, no treatment","Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type guard cells, abscisic acid treatment"
Gene ID,Gene Name,DesignElementAccession,GSM486930,GSM486892,GSM486894,GSM486905,GSM486916,GSM486917,GSM486893,GSM486904,GSM486918,GSM486928,GSM486929,GSM486906
AT1G01710,,261560_at,6.969877148,8.224181713,7.847152357,8.841840462,7.778852284,7.565365424,8.006440381,8.602277575,7.479074817,7.685801021,7.28114789,9.072715294
AT1G01720,NAC002,261564_at,9.70521833,12.82080973,12.89495295,13.03196597,6.497769798,7.783297607,12.6601877,12.85621667,7.908674842,9.928431053,9.003271294,13.14056061
AT1G01725,,261535_at,8.147906353,7.158333012,7.702882314,7.432905903,6.808773883,7.55955965,8.239934675,7.577673874,7.346377645,8.244800961,8.030572272,6.482451174
AT1G01730,,261561_at,8.951053292,7.04787006,7.396050097,7.065970107,7.231343996,8.327962382,7.287591376,6.894354185,7.580639733,8.523139916,8.611088179,7.461655107
AT1G01740,,261591_at,4.461537954,5.01546088,4.672489631,5.313684712,5.170417187,5.073519734,4.905810857,5.106034629,4.967686156,4.497056028,4.288900658,4.815168734
AT1G01750,ADF11,261562_at,3.268902104,3.58169818,3.498099804,3.568503888,3.400224129,3.334326362,3.410598534,3.288495885,3.490256502,3.376010783,3.33097572,3.634807431
AT1G01760,,261592_at,4.928810271,4.749149827,4.749178945,4.76634758,4.746853254,4.525852322,4.847086279,4.792147334,4.724657053,4.958659573,4.809564864,5.253274573
AT1G01770,,261558_at,6.040023838,5.37088469,6.307973532,6.648139679,6.300340172,6.785733647,7.264113536,5.625340526,6.85399657,6.482596448,4.771373575,5.872862184
AT1G01780,PLIM2B,261559_at,5.482764096,4.677034844,4.941469135,4.970498612,5.311877554,5.525522003,5.917572919,4.84724651,5.631679516,5.989939164,4.673765736,4.570499071
AT1G01790,KEA1,261536_at,7.127811637,7.806553195,6.736062431,7.141455576,9.375107452,8.964395563,7.287164537,7.462210111,9.33106807,7.679626918,7.422825829,6.990295162
AT1G01800,,261537_at,9.679907306,9.147549725,8.342182119,7.873357403,9.718889445,9.517032543,8.871997898,8.048101601,9.211301858,9.482508088,9.443697154,7.298510116
AT1G01820,PEX11C,261534_at,8.732967442,8.250755013,7.85295548,7.587535017,9.232356401,9.269258532,8.166607305,7.654888599,8.583322844,8.893274915,9.098115908,7.276787865
AT1G01830,,261538_at,4.103615268,7.676323622,7.097868986,7.640524043,4.408805203,4.22718512,7.705129199,7.906727395,4.269093139,4.968313505,4.337338957,7.612197319
AT1G01840,,261539_at,4.487670986,4.125756483,4.447961338,4.182324823,4.464866111,4.259061263,4.191348625,4.060522641,4.308867062,4.328698465,5.014094892,4.373107869
AT1G01860,PFC1,261652_at,5.715939319,5.963667786,5.907474381,6.0701575,6.079126494,5.943671125,6.22274504,5.740827209,5.812039497,6.162572474,5.777269253,5.482361434
AT1G01900,SBTI1.1,261653_at,7.773582672,7.8643523,7.210416601,8.58721254,4.686578329,4.491315271,6.911543618,9.448653278,4.176341071,7.971175405,5.094548856,7.955210073
AT1G01910,,261627_at,8.391486357,9.209142675,9.263694679,9.140036581,9.050734339,8.907386862,9.175037631,8.789289554,8.87780215,8.685822286,8.407629119,9.431892511
AT1G01920,,261654_at,5.251949073,5.368331947,5.37647277,5.975527436,5.622944379,5.500695712,5.607484446,5.473381576,5.784203565,5.01595549,5.216376921,5.252521735
AT1G01930,,261625_at,4.730919093,6.254182234,6.408911056,6.644157519,6.512566101,6.355248959,6.369088899,6.731047509,6.662762166,4.810606658,4.751603335,6.342188793
AT1G01940,CYP18-1,261655_at,7.141965191,8.523259004,9.7308383,9.344605018,7.226033568,7.294718602,9.548175559,9.361803837,6.672418449,7.035133941,7.465673804,8.894785519
AT1G01950,ARK2,261656_at,4.071053979,5.554996266,5.365493946,4.580522095,4.995975622,4.763390001,5.213390774,4.961345064,5.252186306,4.05671564,4.258557411,4.352374187
AT1G01960,BIG3,261621_at,7.390699993,8.014342958,8.055406948,6.985961802,8.915648114,8.621940164,7.836186464,7.391370064,8.893487775,7.087208069,7.430567781,6.826198439
AT1G01970,,261622_at,6.444195461,6.50693659,5.810455483,6.272696962,7.71948612,7.080900292,6.210993037,6.214621006,7.645515474,6.763656982,6.695655551,6.108522711
AT1G01980,SEC1A,261623_at,3.752216375,3.633170465,3.586517203,3.672407342,3.230803584,3.414176087,3.807152162,3.627315245,3.472194202,3.402743366,3.631596877,3.906717758
AT1G01990,,261626_at,8.244899439,6.717298215,7.255675316,6.680000998,7.589663337,7.885122759,6.63315555,6.389783171,7.726954418,7.750709339,8.225623669,6.967500353
AT1G02000,GAE2,261624_at,6.900981276,7.094944503,7.191170316,7.79096877,5.797610665,6.072450795,7.026107727,7.117728436,6.279592044,6.82884787,6.833340659,7.492934979
AT1G02020,,264169_at,5.823259857,6.741716666,7.505096598,8.071106729,5.524283552,6.065955784,6.987944871,7.688718372,5.879516797,5.751216579,5.546404714,7.807413535
AT1G02050,PKSA,264175_at,3.669999817,3.948202578,4.317514189,4.352082782,4.059869449,4.448118982,3.813510161,4.034843579,4.370628043,3.921843451,3.753271515,3.954101226
AT1G02060,,264167_at,3.134570153,3.565085852,3.609240976,3.301405135,3.440271997,3.707357701,3.72855216,3.299769655,3.616956336,3.360400107,3.1256929,3.13165309
AT1G02070,,264151_at,3.475567609,3.783082085,3.546898805,3.651822646,3.314766592,3.444397705,3.530374312,3.271141327,3.421357054,3.699064056,3.614983197,3.75512364
AT1G02080,,264168_at,7.679757554,9.061601155,9.308404309,9.38682829,8.358234663,8.761995302,9.516015996,8.856736367,8.961196849,8.040029654,7.221140245,8.795465201
AT1G02090,CSN7,264150_at,7.186623451,8.878261211,9.039905022,9.216487259,6.606247557,6.289820711,8.873714778,9.183360293,6.711159813,7.29397047,7.177029088,9.116977036
AT1G02100,,264171_at,7.191983469,7.93658282,7.560814944,7.978212003,6.870118314,7.424447076,8.050653146,8.008995706,7.384079885,7.387440752,6.932996292,7.031832112
AT1G02110,,264176_at,4.510245081,5.192740258,4.817728287,5.631641373,4.622125027,4.983739091,6.035817833,5.213848661,5.382959854,4.686502599,4.096206855,4.146017939
AT1G02120,VAD1,264172_at,7.741119621,8.15009824,8.021950537,7.633689703,9.244740556,9.45298343,8.267734663,7.738491179,9.088260015,7.925357471,7.523501307,6.459495582
AT1G02130,RABD2A,264122_at,8.476434578,8.717045295,8.742565982,8.580471105,8.239492946,8.444948861,9.004095123,8.160163698,8.296471647,8.351187014,8.464503731,8.877402599
AT1G02140,MEE63,264152_at,9.612121224,9.369226156,8.751423738,9.046752099,10.26582152,9.007969928,9.229704126,9.32309481,9.314428988,9.539663696,10.44755081,8.820927702
AT1G02150,,264177_at,6.701823993,7.331053913,7.413190491,6.919854857,9.328286088,8.706268801,7.493591638,6.545769824,9.134205137,7.111083331,6.707809941,6.329366027
AT1G02160,,264173_at,9.150567438,7.244698678,8.080540544,7.415811295,8.407397752,8.762690931,8.025617304,7.024020695,8.407409861,8.79891877,9.384930172,7.594247926
AT1G02170,AMC1,264178_at,8.87158166,8.05899187,8.506678427,8.355271345,7.730634243,8.602448915,7.937798301,8.25182681,8.397170298,8.537483757,8.109825947,8.247977616
AT1G02180,,264179_at,4.296127421,3.892247501,4.25793854,4.191246603,4.17352118,4.035819983,4.048612861,4.558240681,4.230938431,4.675021008,4.546172017,4.733033691
AT1G02190,,264180_at,3.763982692,4.026383615,3.767151236,4.288322575,3.641477988,3.514576775,4.103301233,4.296117752,3.591866263,4.094777008,3.967529714,4.151148594
AT1G02205,CER1,264146_at,9.001180727,4.039607783,4.168690081,6.256989456,3.867113537,4.043637825,4.251704295,5.009801711,3.873878722,9.054688599,8.025093509,6.256113819
AT1G02205,CER1,264147_at,7.405730653,3.412057205,3.498368171,4.865908407,3.452666061,3.549229275,3.779186701,3.763559797,3.517042984,7.048194888,6.299545464,4.102861989
AT1G02220,NAC003,264148_at,5.987908734,3.437688501,3.757885751,5.679992655,3.598618941,3.727171903,3.902106936,4.833874642,3.426465561,3.93777537,3.713240941,4.839149671
AT1G02250,NAC005,264149_at,3.410343364,3.167884273,3.378468357,3.156965467,2.960584329,3.157957455,3.177335809,3.240780799,3.172139442,3.716404326,3.424006315,3.876648269
AT1G02260,,264170_at,6.467059227,7.109675515,6.634670824,7.002375204,6.417533229,6.368003936,6.57597526,7.496723856,6.065083013,6.132455672,6.729115183,7.300602741
AT1G02270,,264123_at,7.745865652,8.867842145,8.529493483,8.563253293,7.887474018,8.362745489,8.669476221,9.34792966,8.040193405,7.776402862,7.619691319,8.088600766
AT1G02280,TOC33,264121_at,6.16317976,6.826199647,6.804964322,5.617319091,7.310904731,7.291608893,7.11821181,5.934003454,8.361697321,6.723703711,5.92554346,5.230676355
AT1G02300,CATHB1,259441_at,7.168303923,5.630939536,6.63666789,5.546820542,9.024224254,8.162727301,7.183537948,5.752018806,7.508631804,7.222073238,7.623484412,5.189813437
AT1G02305,CATHB2,259416_at,9.524369793,8.856555653,8.21873788,8.188615874,9.621219849,9.790975828,8.357937367,8.58500217,9.865544298,9.716951576,9.29501238,7.994683349
AT1G02310,MAN1,259442_at,7.26404884,5.692918262,7.000124428,8.130067614,3.725356116,4.021516993,5.508261582,8.535286323,3.908457444,7.101956496,4.758652789,8.989405621
AT1G02320,,259413_at,2.850772669,2.819314862,2.939731136,2.856359508,2.916410026,2.875818419,2.748103522,2.963838945,2.78054994,3.159102757,2.844039695,2.968057152
AT1G02330,,259415_at,4.995406126,6.463073245,6.916334346,7.226192781,6.767976074,7.395725072,7.209463156,7.771274431,7.218807364,5.409341055,4.948805903,6.281545682
AT1G02340,HFR1,259417_at,9.379146957,4.795504867,5.170430149,8.48409163,5.358773867,7.564413764,5.139153642,7.425340787,7.3309578,9.206685383,6.219410955,7.14111911
AT1G02360,,259443_at,8.365129573,8.383076563,8.684406344,7.844388187,8.238504858,9.561637656,7.721346171,7.4597121,7.844687037,7.811184767,7.917594511,8.582265852
AT1G02370,,259444_at,4.629746081,5.841781612,6.083858218,6.043661141,6.001166636,5.717925239,6.001216232,6.13096553,5.150533571,4.41014266,4.301996043,6.139113968
AT1G02390,GPAT2,259418_at,7.358120688,6.843078888,6.392217261,8.144520889,4.98037403,5.810453269,5.625373747,7.683369802,5.044438032,7.432603024,6.784633987,8.887866352
AT1G02400,GA2OX6,259445_at,9.575953543,10.4789104,10.30264095,10.48902855,8.725303379,9.435648334,9.250247717,11.50836215,8.901211251,10.32242269,9.762745014,10.8721395
AT1G02410,COX11,259446_at,8.223299015,8.093258072,8.032202003,8.482598953,7.183393268,7.51068514,7.870333789,8.64018636,7.466658915,7.92842157,7.478736939,8.06767369
