#development stage,seedling,,,,,,,
#ecotype,Columbia,,,,,,,
#age,10 (day),,,,,,,
#compound,,,auxin and brassinazole,auxin,auxin and brassinazole,auxin and brassinazole,auxin,auxin
Gene ID,Gene Name,DesignElementAccession,GSM325130,GSM325126,GSM325131,GSM325129,GSM325127,GSM325128
AT1G02050,PKSA,264175_at,5.520174847,5.687941195,5.194344682,5.640486101,5.724142947,5.633692972
AT1G02060,,264167_at,4.556545201,4.730959997,4.535857543,4.898642524,4.621846583,4.523573308
AT1G02070,,264151_at,4.226416706,4.300171934,4.487527854,4.349945416,4.295500272,4.347242043
AT1G02080,,264168_at,9.813924138,9.898950535,9.812019212,9.848514988,9.857770483,9.922097502
AT1G02090,CSN7,264150_at,8.389265542,8.281322694,8.392584526,8.224306148,8.221759002,8.455689335
AT1G02100,,264171_at,8.155501418,8.167523046,8.164201111,8.203379466,8.202560602,8.129724821
AT1G02110,,264176_at,7.20593179,7.201617347,7.261115433,7.317329078,7.262321284,7.391683658
AT1G02120,VAD1,264172_at,9.071041046,9.129164645,9.074826087,9.108905831,8.96172203,9.126860729
AT1G02130,RABD2A,264122_at,9.201628329,9.119250986,9.274221498,9.19563204,9.095485367,9.145015279
AT1G02140,MEE63,264152_at,11.00410579,10.94701054,10.99669373,11.04616191,10.98488266,10.8097314
AT1G02150,,264177_at,10.28270935,10.27343794,10.12348918,10.25687094,10.2110186,10.24072608
AT1G02160,,264173_at,9.009959475,8.900638029,9.098097171,9.084620767,8.943496493,8.9983278
AT1G02170,AMC1,264178_at,8.924608645,8.719865095,9.042586025,8.90679174,8.716439397,8.882634302
AT1G02180,,264179_at,6.266832571,6.312316107,6.296805417,6.156663963,6.300172527,6.373707656
AT1G02190,,264180_at,4.127704698,4.296758814,4.183481328,4.005234001,4.182145887,4.163556296
AT1G02205,CER1,264146_at,7.022645199,7.056729506,7.436986655,6.886164754,7.192955155,7.192752432
AT1G02205,CER1,264147_at,5.141986364,5.387311323,4.93050552,5.231885407,5.51068266,5.794821899
AT1G02220,NAC003,264148_at,6.424800682,6.297149939,6.791239066,6.49467688,6.313104997,6.30845482
AT1G02250,NAC005,264149_at,3.778644935,3.515369642,3.62018263,3.304478063,3.461231228,3.519089318
AT1G02260,,264170_at,7.611793126,7.584861765,7.386033377,7.527522675,7.690618252,7.575519254
AT1G02270,,264123_at,7.688365788,7.579772343,7.868193143,7.691872045,7.550828285,7.697464964
