#devolpment stage,radicle emergence,,,,,,,,,,,,,
#ecotype,Ler-0,,,,,,,,,,,,,
#dose,20 (micromolar,,,,,,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Penfield_1-10_embryo-control_Rep1_ATH1,Penfield_1-4_endosperm-ABA_Rep1_ATH1,Penfield_1-12_embryo-control_Rep3_ATH1,Penfield_1-1_endosperm-control_Rep1_ATH1,Penfield_1-15_embryo-ABA_Rep3_ATH1,Penfield_1-13_embryo-ABA_Rep1_ATH1,Penfield_1-3_endosperm-control_Rep3_ATH1,Penfield_1-11_embryo-control_Rep2_ATH1,Penfield_1-5_endosperm-ABA_Rep2_ATH1,Penfield_1-2_endosperm-control_Rep2_ATH1,Penfield_1-14_embryo-ABA_Rep2_ATH1,Penfield_1-6_endosperm-ABA_Rep3_ATH1
AT1G01560,MPK11,259428_at,3.752336798,3.831916166,3.861966329,3.852817277,3.87626622,4.006140021,4.036395933,3.898865354,3.967061797,3.876589354,4.115915289,3.92995753
AT1G01570,,259433_at,3.692827727,3.509247797,3.719044565,3.637569459,3.597249336,3.513253054,3.791407643,3.634306942,3.877158788,3.459623153,3.704036902,3.686716731
AT1G01600,CYP86A4,259429_at,6.341454709,5.161023381,6.222244092,4.480754648,5.137633294,5.294982812,4.52580094,6.134657631,4.960219882,4.703779533,5.250453753,5.069270978
AT1G01610,GPAT4,259430_at,5.177051024,3.919467766,5.589055324,4.03894875,4.705265339,4.615440306,4.003605662,5.18107446,3.940293355,3.989215175,4.36775012,4.039079583
AT1G01620,PIP1-3,259431_at,10.06039554,6.528140963,9.531836041,8.516904864,6.883456325,7.084731151,8.171204328,9.937333253,6.926063805,9.172145009,7.132796808,5.346311975
AT1G01630,,261563_at,5.982438713,6.837871554,5.512451122,6.823156854,4.317656744,4.431338854,7.232431865,5.923070523,6.984555678,7.062002951,4.34690514,7.319830076
AT1G01640,,261586_at,4.43410946,7.648266904,4.665247083,7.801578647,6.608557692,6.761472131,7.989657794,4.54314421,7.678599512,8.087933541,6.820537564,8.875259877
AT1G01650,SPPL4,257484_at,6.447921064,6.766463332,6.094703049,6.76846452,6.817464797,6.593736184,7.278251051,6.528641117,6.824436438,6.935872678,7.287924802,7.256377563
AT1G01660,,261587_at,3.454431768,3.172742849,3.464087098,3.000713822,3.117832311,3.074371949,3.096788573,3.539001775,3.136348873,3.227626402,3.358585311,3.338646997
AT1G01670,PUB56,261588_at,4.305111691,4.527213884,4.305677571,4.639010437,4.367868944,4.455850807,4.597272443,4.333709962,4.379501407,4.080743087,4.508995439,4.564535601
AT1G01700,ATROPGEF2,261590_at,2.756003371,2.691101622,2.698119997,2.850209271,2.85745214,2.783880017,2.809709838,2.819127738,2.877048786,2.93283365,2.797668299,2.931082748
AT1G01710,,261560_at,7.539679558,8.000527124,7.210926986,8.260704461,7.348039304,7.27072276,8.700013961,7.464614763,7.968492109,8.454068158,7.488017268,8.049816898
AT1G01720,NAC002,261564_at,8.412397541,9.181881201,8.420912861,8.445930312,9.961328609,9.700552417,7.524656007,8.179779882,9.022452923,8.681831946,9.512581103,9.637835905
AT1G01725,,261535_at,7.518393078,7.193392838,7.470288081,7.858147195,6.854321669,6.583160481,8.372313187,7.765866065,7.548985026,8.13179914,6.455066202,7.597368106
AT1G01730,,261561_at,6.579549813,7.219558598,6.572027105,6.737069222,7.291356228,7.429908842,6.997916789,6.625298547,7.377114675,7.237786848,7.419647324,7.776726905
AT1G01740,,261591_at,4.996421531,4.820638389,5.223074969,4.503971911,5.412257465,5.073771584,4.311560122,5.034608413,4.805323817,4.374289025,5.160038245,4.421191866
AT1G01750,ADF11,261562_at,9.158221401,3.376519247,8.522425921,3.572505798,3.471156564,3.635190575,3.999507418,8.727134215,3.518275242,3.595593248,3.583113033,3.646833211
AT1G01760,,261592_at,4.56165942,4.642510121,4.748862969,4.502968693,4.604962811,4.690655037,4.55499668,4.202775452,4.221808714,4.556810089,4.582157304,4.509149746
AT1G01770,,261558_at,5.176563845,5.440933959,5.063918281,5.238524062,5.517312168,5.403011379,5.917582235,5.000878922,5.356742876,5.34686869,5.072737094,5.156206873
AT1G01780,PLIM2B,261559_at,7.574253467,6.506509702,7.221972899,6.310344942,6.610787339,6.730562809,6.359827105,7.363549615,6.332741055,5.902054708,6.395445941,5.972104422
AT1G01790,KEA1,261536_at,6.605876607,6.139245732,6.642555907,5.741020192,5.741470732,5.898747375,6.549164996,6.43930172,5.942568891,5.989743336,6.055486497,5.339159588
AT1G01800,,261537_at,9.842558556,10.30341797,9.654806293,10.4059104,9.738930542,9.833189846,10.58078557,9.608146919,10.1726748,10.40683241,9.66804779,10.37178564
AT1G01820,PEX11C,261534_at,7.964946248,8.524149378,8.087071022,7.860108931,8.832762882,8.748425506,8.269968689,8.034284962,8.568016536,7.844875357,9.119214828,8.764720669
AT1G01830,,261538_at,5.224283869,5.361702732,4.994623208,5.419063575,5.18235929,5.262787535,5.177872822,5.436559609,5.3297548,5.229522335,5.232674719,5.399553504
AT1G01840,,261539_at,6.77661413,6.057924029,6.418136254,5.934289367,6.380755804,6.594887176,5.465154956,6.630837224,6.144317663,5.727493047,6.720864725,6.235242869
AT1G01860,PFC1,261652_at,5.041482544,4.938787474,5.578264342,4.847798144,5.320381588,5.153249232,4.83335272,5.67285898,5.022254365,4.850321354,4.91802891,4.698160472
AT1G01900,SBTI1.1,261653_at,4.099171977,3.565172734,3.787827877,3.525189969,3.609305854,3.5640058,3.956831528,3.949884446,3.220872573,3.675664319,3.57302202,3.923279551
AT1G01910,,261627_at,8.53002963,8.889480675,8.733093102,8.897124477,9.04718436,8.836561181,8.60773295,8.474360759,8.880775315,8.783385405,8.416601914,8.829820018
AT1G01920,,261654_at,5.950546379,6.643114419,6.048029325,6.215241564,6.373107565,6.418923067,6.255557911,6.011192096,6.40640144,6.297708305,6.709009161,6.577727271
AT1G01930,,261625_at,6.098264587,6.352531372,6.108397677,6.080021441,6.720788731,6.76526428,5.938894116,5.703471896,6.19073064,6.138881803,6.555158811,6.269003487
AT1G01940,CYP18-1,261655_at,8.573770607,9.331122891,8.633396531,8.890566826,9.263471778,9.363263126,8.425273465,8.791707999,9.694968144,9.244874919,9.508229309,9.829439247
AT1G01950,ARK2,261656_at,6.845437364,7.213692742,6.922338718,7.306628718,7.181101449,7.020509319,7.427537043,6.615535388,7.41516293,7.624774207,6.905421936,7.329016935
AT1G01960,BIG3,261621_at,6.804007893,7.468623907,6.611679213,7.201336446,6.782442703,6.9675672,6.747288454,6.666267867,7.348850742,7.20555321,6.731619934,7.377595035
AT1G01970,,261622_at,8.156631241,6.700198144,8.378125318,5.995932616,7.949582172,7.762440836,5.903946276,8.05912638,6.475228909,5.888393032,8.019761682,6.476681444
AT1G01980,SEC1A,261623_at,3.404935773,3.142904453,3.561235853,3.490447076,3.512531865,3.337268,3.40018335,3.387110267,3.372487759,3.379704843,3.156477312,3.44630993
AT1G01990,,261626_at,6.633316661,6.741491038,6.266010713,6.037747722,6.829196549,6.953422851,6.281043317,6.138581902,6.96164835,6.122158012,6.873439934,6.536261871
AT1G02000,GAE2,261624_at,4.71261412,4.720060088,4.795931888,5.452537446,4.870614849,5.080990647,5.309290972,4.82837423,4.629136872,5.082916798,4.975970998,5.262237581
AT1G02020,,264169_at,5.654772165,6.564718671,5.386408732,6.425645599,6.671512796,6.834434321,6.743368996,5.703966668,6.858532054,6.76208085,6.987118924,6.944758793
AT1G02050,PKSA,264175_at,3.917810683,5.004153056,3.881381839,4.1669653,4.719744995,4.795794448,4.169592296,3.976692637,4.634906291,4.095341756,4.930837044,4.588824462
AT1G02060,,264167_at,2.974126399,2.932844495,2.971087475,3.009885472,3.160392873,2.875023653,2.830459506,2.986865281,3.124769312,2.981105071,2.927286902,3.148468264
AT1G02070,,264151_at,3.846387284,3.851677778,3.710963646,3.962521621,3.960877048,3.968511263,3.7597446,3.559833541,3.80918652,3.583137093,4.012615346,3.715415116
AT1G02080,,264168_at,7.021231305,8.117116656,7.077252852,8.04204061,7.799302442,7.870078421,8.08522071,7.201246294,8.180378214,8.352217196,8.023784427,8.086473223
AT1G02090,CSN7,264150_at,6.895020789,7.571202625,7.200620772,7.348054769,7.781658556,8.084934595,7.052868498,7.08219277,7.579822328,7.469799011,8.14156723,7.782609652
AT1G02100,,264171_at,5.271954949,5.963536413,5.543555878,5.742737867,6.016315256,5.586944459,5.854863795,5.255409157,5.903322605,5.743383207,5.473948652,6.029759699
AT1G02110,,264176_at,5.207932986,5.968689214,5.074798568,4.701784832,6.043910753,6.096800086,4.048347827,5.194945272,5.554639673,4.643332614,6.193551334,4.867340538
AT1G02120,VAD1,264172_at,5.838533616,7.241881886,6.085322383,6.847931167,6.95799286,7.061954782,6.445713252,5.844931978,6.609903335,6.531275185,7.277835157,7.163028987
AT1G02130,RABD2A,264122_at,7.61795034,8.074141909,7.591154652,8.027246932,7.929947997,7.894056927,8.12951215,7.39923099,8.148573206,8.1469324,8.282521571,8.576896894
AT1G02140,MEE63,264152_at,10.56856683,10.21872731,10.633885,10.00926861,10.59357034,10.77156574,9.811312382,10.63160167,10.05029803,9.826493169,10.8922396,10.12284886
AT1G02150,,264177_at,8.5834259,7.830501578,8.729703547,7.331036465,8.78579711,8.365934169,6.604986957,8.48131414,7.694864548,7.051428909,8.159632457,6.686576683
AT1G02160,,264173_at,9.262876219,9.180643797,9.264693084,8.972316844,9.201224651,9.135863274,8.943618331,9.180345072,9.186805699,9.186015099,9.205177908,9.023458173
AT1G02170,AMC1,264178_at,5.63723764,6.449952248,6.048509555,6.793485785,6.295229695,6.151242925,7.181730753,5.817613856,6.341558457,6.386474918,6.211774906,6.511267652
AT1G02180,,264179_at,6.797876002,5.480338443,6.490381245,5.294681373,5.916917485,6.00233749,5.458538121,7.004935988,5.483211597,5.300287271,6.262866537,5.550812973
AT1G02190,,264180_at,4.112769858,3.792107327,3.857988743,3.874077807,3.797270471,3.863116438,3.996768085,4.146944118,3.943235801,3.684793621,3.923854723,3.829485892
AT1G02205,CER1,264146_at,9.964503625,4.987559274,10.24616184,8.876014252,4.818590968,4.579992939,10.13382749,10.04716309,4.829174215,9.055759695,4.558429798,5.038354947
AT1G02205,CER1,264147_at,4.256895855,3.104595377,5.070833243,4.075083923,3.161682546,3.256295313,4.219930773,4.485769897,3.186927491,4.248037966,3.423005661,3.187283478
AT1G02220,NAC003,264148_at,3.155778063,4.082862373,3.231881434,4.856252193,3.207482276,3.191375711,7.742830357,3.467168134,4.216524397,5.004165052,3.158060439,4.771503136
AT1G02250,NAC005,264149_at,3.320082161,3.192607801,3.271871238,3.19013488,3.65344689,3.138344652,2.920738535,3.136562908,3.12903159,3.076865654,2.918344482,3.507687206
AT1G02260,,264170_at,6.124277183,7.004312669,6.458462621,6.783898561,6.545661953,6.405811003,7.163676329,6.287062713,6.695023034,6.755791924,6.116780718,7.047807387
AT1G02270,,264123_at,5.67250903,6.027534506,6.077256105,5.779861919,6.486841319,6.119244401,6.189720667,5.557279124,6.083483023,5.963633835,6.128661923,5.887597674
AT1G02280,TOC33,264121_at,9.415636024,8.215824528,9.6436925,7.896667988,9.416000438,9.244746713,7.321881442,9.277144866,8.163760816,7.963955401,9.073051737,7.71386321
AT1G02300,CATHB1,259441_at,6.294412093,3.541366631,6.253508099,3.87738303,3.800181526,3.85616338,3.920834327,6.153035077,3.854472215,3.89769408,3.8067739,3.348827734
AT1G02305,CATHB2,259416_at,9.146145747,10.02411417,9.333850423,9.971295117,10.04888189,9.866072373,10.08473062,8.837911994,9.850090289,9.832242326,9.920898847,10.23258068
AT1G02310,MAN1,259442_at,3.575650116,4.736683096,3.629637048,4.079609204,4.877485474,6.374738458,4.197798915,4.02665646,4.742642554,3.889303302,6.356681445,5.239482115
AT1G02320,,259413_at,2.61548421,2.724415497,2.703766548,2.673596474,2.667230303,2.721986216,2.742052283,2.567373647,2.546218994,2.562752557,2.646051836,2.755758901
AT1G02330,,259415_at,8.437454254,8.589381375,8.841696171,8.072335343,9.264402164,9.181594793,8.199131529,8.359800824,8.643838445,8.040297143,9.305815667,8.996142392
AT1G02340,HFR1,259417_at,4.912003079,3.259243737,4.409644174,3.336589588,3.331196902,3.446702401,3.549075464,4.728520389,3.418489654,3.569670078,3.342389316,3.414164407
AT1G02360,,259443_at,4.916611758,4.351407085,4.385821298,7.15352837,3.867165314,3.959942183,8.791024007,5.182957391,4.745371057,7.384177817,4.298465731,4.42853179
AT1G02370,,259444_at,6.359274771,7.386155928,6.515322597,5.943375531,7.608596564,7.536067934,4.946350144,6.08242187,7.329496019,5.885327039,7.53463265,6.809494774
AT1G02390,GPAT2,259418_at,3.676789711,3.70943868,3.936302025,3.647774799,3.798700149,3.550576122,3.405758845,3.753698034,3.764228378,3.353074323,3.492299943,3.379855013
AT1G02400,GA2OX6,259445_at,3.634770334,3.302340783,4.302255484,3.487213824,3.483742091,3.272098796,3.679510756,3.915330481,3.380089451,3.170607905,3.407199122,3.600169268
AT1G02410,COX11,259446_at,7.563159288,7.862181686,7.56751915,7.656949604,8.072401402,8.025814144,7.766112861,7.530972497,7.959825391,7.825756276,7.773930072,7.966575667
AT1G02420,,259414_at,3.93004236,4.51711564,3.915854586,3.457290229,4.853317862,4.6275047,3.977403203,3.916312595,4.184012813,3.67526536,4.672600099,4.430511193
AT1G02450,NIMIN-1,260904_at,3.435524106,6.552790229,3.323991137,6.35297685,3.274998443,3.559658048,7.262783059,3.222999952,6.218469928,6.235156734,3.402499521,5.929998231
AT1G02460,,260903_at,4.28870898,4.123607552,4.675598345,3.936008138,4.144878879,3.930813687,4.315739222,4.459420869,4.097830888,4.042377126,4.411958193,4.254065685
AT1G02470,,260933_at,3.858464197,3.731099786,3.441879624,5.487720375,3.739824886,3.801994934,7.417427169,3.58780619,3.734678704,5.33031787,3.630402939,3.563911307
AT1G02475,,260916_at,8.078061146,7.378915192,7.901543427,8.316959849,6.794991977,6.713847438,8.994516724,8.167146002,7.325679076,8.486318599,6.931958433,7.719928959
AT1G02490,,260911_at,3.254487736,3.196578739,3.060574087,2.902505194,3.0674146,2.914963589,2.929511671,3.087010734,2.878368298,2.911956518,3.152127812,2.901378254
AT1G02500,SAM1,260913_at,8.771177664,8.617838083,8.368873622,8.847870317,6.65208648,7.022216235,9.090915326,8.806942964,8.846153964,9.292704774,6.771942587,8.88701909
AT1G02540,,260906_at,3.512163078,3.329726583,3.300680585,3.341199798,3.341975797,3.305449734,3.225531414,3.194333344,3.257665513,3.310746645,3.584577012,3.195440642
AT1G02550,,260931_at,4.460896249,4.629856994,4.22065986,4.467934102,4.615724897,4.4972663,4.588797963,4.567352329,4.411541329,4.59249668,4.84214091,5.074284806
AT1G02560,CLPP5,260912_at,10.66352036,9.853704344,10.68175174,9.665032799,10.39514868,10.04200958,9.636100697,10.71056945,9.994881861,9.911379948,10.09605234,9.89532421
AT1G02575,,260907_at,4.083096775,3.912174535,4.012859606,4.094445315,4.206037905,4.030653192,3.827978804,3.98543147,4.115755533,4.029813484,4.172175635,4.04344042
AT1G02580,MEA,260908_at,4.339117993,4.56486234,4.34478313,4.65063327,4.513067898,4.553521435,5.084213299,4.629266267,4.650119592,4.65687576,4.555758092,4.650236402
AT1G02620,,260930_at,4.402953346,4.568364377,4.489211146,5.114764453,4.498202874,4.35207681,5.277905098,4.349877667,4.550738702,4.984327894,4.64835817,4.737348121
AT1G02640,BXL2,260914_at,11.12512342,10.92911912,11.11499755,13.08216636,8.501739099,8.401270091,13.16497539,11.21885171,10.82967961,13.21773362,8.310258725,11.94857881
AT1G02660,,260915_at,4.665837468,5.53701863,4.821162544,5.286562892,5.735703451,5.38038326,6.192301068,4.824536576,5.619748487,5.658000521,5.103197885,5.751162278
AT1G02670,,260909_at,4.410188502,4.7030233,4.413369717,4.564393013,4.297455426,4.477251876,4.741826812,4.667906795,4.7030233,4.456057111,4.71891246,4.515382058
AT1G02680,TAF13,260929_at,6.483409923,6.49004898,6.390834424,5.910350494,7.310256406,7.160430422,6.418186224,6.036037432,6.845474618,6.548005915,7.394867725,7.142221033
AT1G02690,IMPA-6,260910_at,4.815857018,6.286266455,4.934978869,5.271093717,5.964395391,5.595805734,4.265929339,4.896109917,5.926774172,4.597782047,5.599215587,5.520770691
AT1G02700,,260917_at,5.869919886,9.906156498,5.945510071,6.679450991,9.763254767,9.662300915,5.021739012,6.591919332,10.21523975,7.195418283,9.420689664,9.581147309
AT1G02710,,260905_at,4.43410946,4.393636042,4.342168597,4.833605615,4.48466218,4.509490534,4.712155355,4.61406099,4.549906376,4.645684286,4.87299593,4.801868547
AT1G02720,GATL5,260928_at,5.918369125,5.117489597,5.87083911,4.965090795,5.770346424,5.16731466,4.758737246,5.497435244,5.21590186,4.935495468,5.156728495,4.834138166
AT1G02730,CSLD5,262109_at,4.96236054,4.054844912,5.07657233,4.435239886,3.97798316,4.041624912,4.261811839,5.341786344,4.207131635,4.164448749,3.955467203,3.757207001
AT1G02740,MRG2,262108_at,5.661584819,6.569581202,5.878803152,6.474709481,6.483353179,6.319729598,6.950398334,6.21555891,6.895152935,6.626092246,6.502828304,6.896305299
AT1G02750,DI19-2,262107_at,7.956048033,7.695951088,7.939845146,7.99276985,8.920187021,8.910791198,7.985168567,7.842059486,7.893423619,8.164738706,9.017377157,8.673280897
