#development stage,seedling,,,,,,,
#organism part,aerial tissue,,,,,,,
#ecotype,Col-0,,,,,,,
#,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1,Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1,Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1,Sakakibara_1-1_TZ-treatment-wild_Rep1_ATH1,Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1,Sakakibara_1-3_TZ-treatment-wild_Rep3_ATH1
AT1G02170,AMC1,264178_at,8.994037887,8.794277863,9.049501418,8.959784537,8.760249851,9.030227029
AT1G02180,,264179_at,6.987292694,7.457578916,7.41914059,7.120539993,7.262558554,6.752952374
AT1G02190,,264180_at,4.386305664,4.501759875,4.410809475,4.650438981,4.654307096,4.578855947
AT1G02205,CER1,264146_at,8.635630598,9.316929068,9.591278634,8.799880072,9.241766968,8.709752691
AT1G02205,CER1,264147_at,6.664531844,5.286457802,5.585129636,6.83569644,5.127470944,6.793643736
AT1G02220,NAC003,264148_at,4.209857718,4.100435292,4.223275223,4.059144693,4.0640107,4.30105511
AT1G02250,NAC005,264149_at,3.715604746,3.870257498,3.544669636,3.773379786,3.80296592,3.693319312
AT1G02260,,264170_at,7.022727605,7.410497093,7.551913267,7.164063515,7.350223876,7.149701469
AT1G02270,,264123_at,8.165241945,7.323970927,7.754123679,7.7037982,7.496432658,8.070127333
AT1G02280,TOC33,264121_at,10.22421956,9.366749917,9.227773152,10.28334561,9.280695434,10.43038823
AT1G02300,CATHB1,259441_at,5.886965827,6.986086491,6.795891848,6.002326998,6.881487901,5.939889813
AT1G02305,CATHB2,259416_at,9.440511419,8.84642582,8.891450746,9.519369618,8.935518809,9.532983274
AT1G02310,MAN1,259442_at,4.63896085,4.858594417,4.846177377,4.723029256,4.839113209,4.688253956
AT1G02320,,259413_at,3.369577867,3.457970975,3.274176058,3.350104705,3.40220804,3.347277388
AT1G02330,,259415_at,8.081269511,8.962582859,9.15786851,8.199345553,8.994334331,8.152949958
AT1G02340,HFR1,259417_at,3.639736054,3.805003174,3.848912697,3.743544868,3.848065621,3.745706595
AT1G02360,,259443_at,5.415491509,5.146233792,5.412014979,5.376100976,5.123536847,5.330866685
AT1G02370,,259444_at,6.398394008,6.424120069,6.185215836,6.296379977,6.267197345,6.572141145
AT1G02390,GPAT2,259418_at,4.792672208,4.707243897,4.846324965,4.762729163,4.676166498,4.926948693
AT1G02400,GA2OX6,259445_at,5.120649901,5.121954321,5.175675625,5.103085171,5.251299421,5.229186193
AT1G02410,COX11,259446_at,8.158180331,8.897026779,9.088741315,8.153789513,8.977265797,8.052590644
AT1G02420,,259414_at,5.637119247,5.732406276,5.989805291,5.661029015,5.862688526,5.70963834
AT1G02450,NIMIN-1,260904_at,4.945969392,4.585360265,4.778876916,4.36832034,4.711533249,4.703234246
AT1G02460,,260903_at,5.337259816,5.641600748,5.216955171,5.355288274,5.351825118,5.126497213
AT1G02470,,260933_at,5.006891302,4.819339949,4.525565384,4.601986695,4.952940844,4.649836924
AT1G02475,,260916_at,10.05273698,8.513267428,8.409639697,10.00440408,8.609495477,9.838327951
AT1G02490,,260911_at,4.076949898,4.128092163,4.146248347,4.192090292,4.068770639,4.15634324
AT1G02500,SAM1,260913_at,11.55775969,10.08116031,10.09522439,11.65658582,10.09443476,11.36983583
AT1G02540,,260906_at,4.097703911,4.130915533,4.267643358,4.116143809,4.2481052,4.066052395
AT1G02550,,260931_at,5.000178401,5.215104846,5.177477316,5.227956654,5.217194266,5.043930872
AT1G02560,CLPP5,260912_at,11.72970564,11.89085485,11.82021031,11.78936467,11.8713451,11.90822333
AT1G02575,,260907_at,4.46398315,5.035975612,4.916430048,4.7832008,4.920086204,4.608483431
AT1G02580,MEA,260908_at,5.443235641,5.782202214,5.687080696,5.55100018,5.77601817,5.491631445
AT1G02620,,260930_at,5.374805356,5.651269327,5.285555353,5.454422986,5.460538306,5.389312495
AT1G02640,BXL2,260914_at,8.580876691,8.746452517,9.088617456,8.279660162,8.92805662,8.748895095
AT1G02660,,260915_at,7.376464729,7.768928217,8.579784646,6.512065937,8.040896491,7.408208649
AT1G02670,,260909_at,5.567857587,5.694927133,5.72920265,5.471331451,5.952517342,5.763441767
AT1G02680,TAF13,260929_at,6.701372857,5.711647491,5.798605097,6.535462254,5.493554161,6.585667777
AT1G02690,IMPA-6,260910_at,8.000766898,8.128526238,8.160664072,8.202013203,7.965340869,8.182290803
AT1G02700,,260917_at,4.518712265,4.485871047,4.319426395,4.3679057,4.220124285,4.19717278
AT1G02710,,260905_at,5.984989333,6.258131596,6.136133993,5.810396528,6.14062015,5.985852318
AT1G02720,GATL5,260928_at,6.229870943,7.057142096,6.800563187,6.089592017,6.763183,6.195250607
AT1G02730,CSLD5,262109_at,8.855520831,9.075499793,8.883083361,9.174156107,9.001448877,8.988798317
AT1G02740,MRG2,262108_at,6.694090448,7.496024019,7.730316671,6.530405114,7.525998331,6.476101631
AT1G02750,DI19-2,262107_at,6.743993888,6.5766529,6.63487595,6.746190916,6.502899151,6.666660425
AT1G02780,RPL19A,262117_at,13.16025781,12.37644644,12.12991141,13.28032789,12.3517497,13.214818
AT1G02790,PGA3,262122_at,3.605874613,3.781848013,3.762401561,3.639851834,3.761459723,3.723109236
AT1G02800,CEL2,262121_at,7.457901088,8.247512713,8.152413987,7.670299886,7.914701727,7.59257564
AT1G02810,PME7,262105_at,4.176588589,4.376178017,4.174700633,4.099782752,4.211502134,3.896122917
AT1G02813,,262115_at,3.802697194,3.728962124,3.758940333,3.77595189,3.780801738,3.824158712
AT1G02816,,262116_at,7.760289124,6.954332231,7.181539492,7.714231729,6.966113568,7.777652388
AT1G02820,LEA2,262113_at,7.179332797,7.027126911,7.606785803,7.991083099,7.377419013,7.245422751
AT1G02830,RPL22A,262132_at,4.009798156,3.939359244,3.996840799,4.052506859,3.972001943,3.94385114
AT1G02840,SR34,262110_at,9.301266478,9.508344281,9.615086703,9.264015517,9.633243395,9.272965815
AT1G02850,BGLU11,262118_at,7.283595761,7.715277097,7.270395832,6.686007961,8.068277841,7.160123111
AT1G02860,BAH1,262114_at,6.870698439,7.575350178,7.913668157,6.47792495,7.7580897,6.851973712
AT1G02870,,262112_at,9.043275966,7.250232045,7.11359992,8.638585895,7.310539044,8.818043906
AT1G02890,,262130_at,7.745515144,8.516779542,8.798465109,7.761788971,8.614048778,7.949824862
AT1G02900,RALF1,262131_at,5.649991514,5.428117282,5.831419027,5.754918049,5.934817369,5.638611175
AT1G02910,LPA1,262104_at,8.95522968,8.969411899,9.190220196,8.967384659,8.988585594,8.949579247
AT1G02940,ATGSTF5,262103_at,4.536718438,4.294443593,4.516103457,4.306644646,3.940784304,4.050285621
AT1G02950,ATGSTF4,262120_at,5.603768264,4.943847026,5.038384313,5.486649513,4.695669723,5.55616378
AT1G02960,,262111_at,6.782487892,8.172315897,8.216550891,6.65131808,8.03710255,6.744639846
AT1G02970,WEE1,262106_at,5.619339417,5.817768135,5.598768572,5.820605588,5.730674505,5.932986439
AT1G02980,CUL2,262102_at,3.696704767,3.627572235,3.757230685,3.772637266,3.685549944,3.84343279
AT1G03000,PEX6,263170_at,7.814522128,8.794591033,8.697085202,7.971340288,8.763414042,7.933360624
AT1G03010,,263169_at,3.592754756,3.963891246,3.695594562,3.69122746,3.893007512,3.545414526
AT1G03020,GRXS1,263168_at,5.371034659,5.068456899,4.893905238,5.321015672,4.833504818,5.371259769
AT1G03030,,263167_at,8.165129134,8.623783259,8.636376397,8.373440837,8.725734869,8.192313896
AT1G03040,,263117_at,8.341618108,6.720475168,6.949920347,8.461616245,6.455590221,8.396097661
AT1G03050,,263166_at,3.676610201,3.796612416,3.650052803,3.83236223,3.830927644,3.783747933
AT1G03055,D27,263115_at,5.713850665,4.956047863,4.890729959,6.206926634,4.977570295,6.026941808
AT1G03060,SPI,263165_at,6.961398509,7.312457542,7.551207505,6.762229357,7.284653741,7.021862507
AT1G03070,,263164_at,5.581094326,5.68596693,5.48579109,5.408242238,5.635721324,5.31273102
AT1G03080,NET1D,263112_at,6.46162322,6.638510673,7.103229144,6.310605844,6.816514963,6.429815213
AT1G03090,MCCA,263118_at,7.35041763,7.762130801,7.897070338,7.242085749,8.267060962,7.22001011
AT1G03100,,263143_at,5.366409392,5.730269869,5.504236001,5.41148205,5.548731073,5.215506017
AT1G03110,TRM82,263119_at,8.011454611,8.109787596,7.991587249,8.067697093,8.041029456,8.078715124
AT1G03130,PSAD2,263114_at,13.02623565,11.174353,11.09454393,13.20701723,11.11122964,13.00531794
AT1G03150,NAA20,263113_at,7.987124681,7.346147265,6.879354107,7.985706742,7.117295221,7.939751852
AT1G03160,FZL,263163_at,7.982009295,7.433194017,7.417915825,7.908935239,7.374643164,7.856180498
AT1G03170,FAF2,264363_at,4.201232561,4.440512241,4.517606869,4.477381475,4.293185255,4.286535138
AT1G03180,,264358_at,5.309583056,5.514023645,5.272003352,5.618217555,5.500882967,5.507962886
AT1G03190,XPD,264356_at,5.994409617,6.666336279,6.4989084,6.068758193,6.33397084,6.19103118
AT1G03210,,264355_at,7.745239531,7.146260412,7.221523145,7.655136512,7.241962022,7.467839275
AT1G03250,,264366_at,7.295063098,7.444126574,7.528928693,7.449105558,7.531112118,7.447168376
AT1G03260,,264353_at,6.78789548,6.270159748,6.467234269,6.447889252,6.294467492,6.866973383
AT1G03270,CBSDUF4,264352_at,5.193843124,5.167656982,5.173874153,5.060878275,5.074505209,5.328694266
AT1G03280,,264368_at,8.013672643,9.179634518,9.329063833,7.897238149,9.183779124,8.059879126
AT1G03290,,264362_at,6.769405545,7.167154572,7.516040467,6.628600561,7.265017155,6.45026113
AT1G03300,DUF1,264361_at,4.852864146,5.447599367,5.318972791,5.125145689,5.549788233,5.103642258
AT1G03310,ISA2,264360_at,9.051943078,9.397626612,9.272907515,9.144005767,9.27444267,9.051477746
AT1G03320,,264359_at,4.554987363,5.339973843,5.134929996,5.041606714,5.170781922,4.951168762
AT1G03330,LSM2,264364_at,9.550519676,9.212198231,9.303269757,9.604825647,9.122106025,9.573674783
AT1G03350,,264367_at,8.944446776,8.94548261,8.980918675,8.88789227,8.946560036,9.338464661
AT1G03360,RRP4,264357_at,8.012117177,8.9723604,8.857801008,7.973798441,8.899156947,8.033410699
AT1G03370,,264351_at,7.372378219,7.184230289,7.36912964,7.118344661,7.307610104,7.335614168
AT1G03380,ATG18G,264828_at,5.806372526,7.075465235,6.923212113,6.058531099,6.874546604,6.026150782
AT1G03390,,264827_at,3.930092277,4.095952818,3.839163404,4.001848545,4.010785372,3.817690625
AT1G03400,,264843_at,8.127376311,8.075928084,8.475405446,8.045818297,8.20306149,8.087492946
AT1G03410,2A6,264826_at,4.75069078,5.487619391,5.866293962,5.027474184,5.499774264,4.838404891
AT1G03430,AHP5,264838_at,7.853283443,7.659598862,7.794089166,7.692568921,7.811042235,7.792779247
AT1G03440,,264840_at,7.673350014,6.948346455,7.025448192,7.684790704,7.119621916,7.686428111
AT1G03445,BSU1,264823_at,5.601309584,6.041156349,5.786020998,5.838071703,5.76626824,5.692507875
AT1G03457,,264822_at,6.766405969,7.400165411,7.739419378,6.89519111,7.436465682,6.91676748
AT1G03470,NET3A,264821_at,5.480158811,5.881173057,5.865717814,5.556529812,6.068741896,5.60816277
AT1G03475,CPX1,264820_at,10.20277187,9.305763268,9.397502223,10.34973006,9.121698243,10.21906554
AT1G03490,NAC006,264829_at,4.062762042,4.27871074,4.097112658,3.935700519,4.330188524,4.10977072
AT1G03510,PCMP-E3,264819_at,4.805341137,4.473088694,4.556045873,4.964469574,4.414304828,4.848732224
AT1G03520,,264844_at,6.174823333,7.270907248,7.215114165,6.047845864,7.235424195,6.116287098
AT1G03530,ATNAF1,264818_at,7.381933233,7.571309052,6.98028954,7.280726172,7.464432512,7.443738204
AT1G03540,PCMP-E4,264817_at,4.816510085,5.284848294,4.981963446,4.947469058,5.107781135,4.748479098
AT1G03550,SCAMP2,264835_at,5.649257509,6.666669004,6.71793052,5.610608382,6.619807453,5.354587337
AT1G03560,,264816_at,6.320111991,6.245052181,6.737732553,6.160376085,6.391089137,6.411292396
AT1G03590,PPC6-6,264833_at,8.2428323,7.413400959,7.728768555,8.122442062,7.535065065,8.256109891
AT1G03600,PSB27-1,264837_at,12.69148358,11.07604082,11.01925551,12.66953129,10.91989793,12.77431914
AT1G03610,,264836_at,7.671719663,8.102507353,7.972682488,7.636938725,8.146899988,7.680943099
AT1G03620,,264815_at,5.082792375,5.487654766,5.677360871,5.056657895,5.565311447,4.923154156
AT1G03630,PORC,264839_at,11.85768554,12.32337818,12.43067068,11.81614025,12.2524462,11.75842269
AT1G03660,,264832_at,6.316862313,7.180030087,7.270395832,6.385933527,6.840171595,6.235817517
AT1G03680,ATHM1,264845_at,12.14970408,11.32976432,11.22068091,12.23002773,11.32862289,12.23396836
AT1G03687,,264831_at,6.677352304,6.375359032,6.325128467,6.55239271,6.349748425,6.541576483
AT1G03700,,264842_at,3.784174273,4.279845619,4.104087192,4.110598562,4.456870559,3.979938499
AT1G03710,,264830_at,4.374458013,4.628251054,4.261938905,4.157667333,4.292311537,4.533565811
AT1G03720,,264825_at,5.020134328,5.153579701,5.267366879,5.350496369,5.206627677,5.240014514
AT1G03730,,264834_at,8.38979189,7.708038329,7.459929456,8.228094223,7.594365726,8.388781095
AT1G03740,,264841_at,6.820959245,6.846982999,6.663878815,6.629470979,6.90426675,6.646277513
AT1G03750,SWI2,265088_at,4.2730118,4.371623317,4.544307656,4.500080132,4.396390166,4.252549604
AT1G03760,,265087_at,5.900476824,7.129740882,7.146696559,5.69582845,7.249362634,5.949441174
AT1G03770,RING1B,265086_at,4.537140048,4.63796895,4.508003362,4.421421336,4.572042183,4.621104406
AT1G03780,TPX2,265085_at,7.028742341,7.653965165,7.592541342,7.145493132,7.686385368,6.908150545
AT1G03790,SOM,265084_at,4.209294842,4.369825141,4.318442292,4.381884372,4.502151334,4.049617019
AT1G03820,,265083_at,7.139434454,5.818560743,5.621608169,7.180513914,6.116540305,7.272686389
AT1G03830,,265082_at,5.55105148,5.822388964,5.585991233,5.333150843,5.641657229,5.501770343
AT1G03840,MGP,265081_at,4.049520221,4.55461768,4.491501627,4.400127827,4.498026956,4.142641038
AT1G03850,,265067_at,6.447864947,5.62970787,5.501104139,6.27202623,5.506154956,6.614405224
AT1G03860,PHB2,265037_at,10.41625051,9.040280544,8.832343873,10.3460795,9.076417966,10.33286158
AT1G03870,FLA9,265066_at,12.26225029,9.726899224,9.84303321,11.87848911,9.864695106,12.27308487
AT1G03880,CRB,265095_at,3.919926884,4.134256028,3.889045472,4.03828047,4.002143596,4.005858412
AT1G03890,CRD,265094_at,3.510108051,3.796612416,3.707454831,3.845427157,3.763124748,3.84343279
AT1G03900,ATNAP4,265043_at,9.172746039,8.399700374,8.350519187,9.134195525,8.27752475,9.118783081
AT1G03905,ABCI19,265093_at,5.03034673,5.415540803,5.874837133,4.95923549,5.591910139,4.861235008
AT1G03910,CTN,265092_at,9.066512092,9.635902562,9.488638834,9.344988479,9.629988654,9.268462464
AT1G03920,,265038_at,5.58110755,6.039313727,5.955992303,5.611909525,6.095352885,5.556865191
AT1G03950,VPS2.3,265044_at,7.470804646,6.9764543,6.875263328,7.594670337,7.059625128,7.621947394
AT1G03960,B''EPSILON,265090_at,4.78937089,4.979528859,4.70178715,4.775327765,4.319934385,4.612013459
AT1G03970,GBF4,265040_at,7.340949953,6.43433919,6.759420033,6.736827065,6.712800194,7.480077972
AT1G03980,ATPCS2,265065_at,4.288132043,4.447389092,4.178162902,4.431782787,4.552424694,4.165729926
AT1G03990,FAO1,265099_at,5.033588343,5.091978637,5.018643471,5.152835857,5.239766503,5.057906336
AT1G04000,,265039_at,7.955857619,8.047622602,7.990212206,8.127533948,8.121683817,7.958421692
AT1G04010,PSAT,265098_at,5.67075844,5.490274325,5.593510168,5.596669539,5.353844147,5.772245591
AT1G04020,ATBARD1,265097_at,8.044386362,9.398867082,9.268917148,8.223741189,9.317706433,8.240003421
AT1G04030,,265096_at,4.766862055,4.988125557,4.760113566,4.919035729,4.734644038,4.950628926
AT1G04040,,265042_at,10.53173358,9.694906324,9.806275343,10.22995649,9.605617726,10.27529634
AT1G04050,SUVR1,257404_at,5.11117557,5.177477316,4.891295395,5.095477656,4.969162995,5.140724128
