#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G02060,,264167_at,5.404557163,5.61805151,5.500435813,5.473334759,5.414451505,5.352205679
AT1G02070,,264151_at,4.807777988,4.724924899,4.649195779,4.911168381,4.819405404,4.851443813
AT1G02080,,264168_at,8.555358029,8.656667302,8.291348409,8.408860638,8.837917937,8.185032742
AT1G02090,CSN7,264150_at,8.842021855,8.806266436,8.305973217,8.444030896,8.852038381,8.502676928
AT1G02100,,264171_at,8.560962866,8.63242417,8.989286142,8.891140861,8.594276246,8.967990464
AT1G02110,,264176_at,7.015952679,6.930953356,6.606109755,6.698091598,7.033664973,6.911120603
AT1G02120,VAD1,264172_at,8.865154534,8.721232828,8.892380194,8.956612845,8.799893169,8.791058677
AT1G02130,RABD2A,264122_at,8.523969506,8.387132866,8.470689876,8.5483396,8.490903122,8.654259436
AT1G02140,MEE63,264152_at,11.21666156,11.2751337,10.96658716,10.98754638,11.26093461,11.03741273
AT1G02150,,264177_at,10.25907026,10.17668868,9.951162062,9.965094772,10.21258294,10.00335698
AT1G02160,,264173_at,9.796802521,9.799002625,9.465674265,9.605367943,9.686684367,9.584128919
AT1G02170,AMC1,264178_at,8.873736432,8.886565488,9.617554383,9.559281149,8.856231721,9.738823834
AT1G02180,,264179_at,7.002064294,6.721881544,6.964170505,7.007953375,6.818212287,7.014920942
AT1G02190,,264180_at,5.060342221,5.133983705,5.096437076,4.844091479,4.909800001,4.742835581
AT1G02205,CER1,264146_at,7.965527087,7.911503653,8.193607061,8.346573557,8.05952379,8.295496317
AT1G02205,CER1,264147_at,7.431255094,7.707546494,7.898317934,8.124344995,7.577340991,8.08427508
AT1G02220,NAC003,264148_at,6.545376559,6.823438736,6.729110116,6.651900059,6.733561423,6.855842086
AT1G02250,NAC005,264149_at,4.294858453,4.405739542,4.297612166,4.297351333,4.290017041,4.487090298
AT1G02260,,264170_at,7.508394424,7.415029345,7.594876714,7.608307796,7.454503716,7.492124208
AT1G02270,,264123_at,8.356281079,8.294734796,8.783217159,8.892674766,8.400238367,8.805071503
AT1G02280,TOC33,264121_at,10.58833072,10.52692287,10.44842768,10.34842403,10.48502433,10.43342187
AT1G02300,CATHB1,259441_at,5.837532474,6.150137153,6.505526944,6.349543977,5.864576659,6.463944002
AT1G02305,CATHB2,259416_at,9.685754162,9.672311176,10.15428252,10.12509797,9.747904747,10.13296919
AT1G02310,MAN1,259442_at,6.157220663,6.41329074,6.227231706,6.312687691,6.343197415,6.193702457
