#ecotype,Col-0,,,,,,
#age,10 (day),,,,,,
#developmental stage,seedling,,,,,,
#organism part,whole organism,,,,,,
#age,10 (day),,,,,,
#development stage,seedling,,,,,,
#compound,,none,none,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,none
Gene ID,Gene Name,SRR797194,SRR797230,SRR797231,SRR797240,SRR797241,SRR833246
AT1G02510,TPK4,0,1,0,0,1,2
AT1G02520,ABCB11,48,232,98,96,383,201
AT1G02530,ABCB12,4,23,5,8,14,9
AT1G02540,,0,0,0,0,0,0
AT1G02550,,0,0,0,0,1,0
AT1G02560,CLPP5,6409,10193,3323,5164,11533,10325
AT1G02570,,0,28,7,3,25,13
AT1G02575,,0,5,3,1,15,2
AT1G02580,MEA,1,2,2,2,8,3
AT1G02590,,0,0,0,0,0,0
AT1G02600,,0,0,0,0,0,0
AT1G02610,,59,171,65,44,246,183
AT1G02620,,0,9,3,2,8,13
AT1G02630,ETN8,1,3,0,1,4,5
AT1G02640,BXL2,701,1974,364,385,2050,2369
AT1G02650,,25,60,23,37,88,63
AT1G02660,,2431,4914,1209,1528,4420,4476
AT1G02670,,54,99,46,38,122,119
AT1G02680,TAF13,181,427,134,195,541,428
AT1G02681,,0,3,0,2,1,0
AT1G02690,IMPA-6,277,616,200,444,851,725
AT1G02700,,40,81,13,20,100,69
AT1G02710,,97,120,24,58,83,85
AT1G02720,GATL5,250,435,167,216,607,470
AT1G02730,CSLD5,665,1415,395,908,1829,1787
AT1G02740,MRG2,245,477,177,295,625,501
AT1G02750,DI19-2,219,434,182,253,565,462
AT1G02760,,0,0,0,0,0,0
AT1G02770,,20,40,9,21,48,39
AT1G02780,RPL19A,12739,24226,7248,11223,29038,23889
AT1G02790,PGA3,0,0,0,0,0,0
AT1G02800,CEL2,37,42,11,20,40,45
AT1G02810,PME7,115,475,100,109,340,633
AT1G02813,,0,3,0,3,7,1
AT1G02816,,455,760,232,269,718,644
AT1G02820,LEA2,935,917,342,453,784,571
AT1G02830,RPL22A,1,3,2,3,5,2
AT1G02840,SR34,2203,5118,1564,2225,6595,4727
AT1G02850,BGLU11,1607,2583,868,1292,2546,2605
AT1G02860,BAH1,1083,2294,679,789,2005,2437
AT1G02870,,509,909,383,605,1321,913
AT1G02880,TPK1,578,1047,312,636,752,755
AT1G02890,,4269,11934,3767,4672,13140,12680
AT1G02900,RALF1,319,1352,707,625,3295,1347
AT1G02910,LPA1,1307,2349,744,1066,2870,2275
AT1G02920,GSTF7,2176,3837,1599,2079,3529,3104
AT1G02930,GSTF6,3463,6975,2013,3132,5120,5011
AT1G02940,ATGSTF5,4,13,1,4,22,11
AT1G02950,ATGSTF4,56,231,60,113,263,194
AT1G02952,,0,1,2,1,0,0
AT1G02960,,262,638,257,322,812,696
AT1G02965,,0,0,0,0,0,0
AT1G02970,WEE1,44,85,25,48,101,92
AT1G02980,CUL2,1,0,1,2,5,5
AT1G02990,,503,1326,423,704,1320,1240
AT1G03000,PEX6,338,880,293,384,931,948
AT1G03010,,85,208,43,48,91,205
AT1G03020,GRXS1,20,29,11,17,99,40
AT1G03022,,0,0,0,0,0,0
AT1G03030,,270,527,210,279,608,524
AT1G03040,,1390,2699,639,1202,2362,2650
AT1G03050,,0,2,0,3,1,4
AT1G03055,D27,103,175,46,108,160,128
AT1G03060,SPI,1783,4959,1346,2088,3933,4172
AT1G03070,,129,238,35,132,77,112
AT1G03080,NET1D,2527,7117,1940,3052,5203,5784
AT1G03090,MCCA,280,858,310,244,1014,704
AT1G03100,,80,196,43,104,165,163
AT1G03103,,0,0,0,0,0,0
AT1G03106,,0,7,1,1,34,10
AT1G03110,TRM82,435,853,457,775,1653,992
AT1G03120,ATRAB28,7,14,4,4,17,13
AT1G03130,PSAD2,7916,12418,3122,4722,12015,10516
AT1G03140,,866,1929,646,844,2154,1798
AT1G03150,NAA20,282,585,218,358,701,626
AT1G03160,FZL,992,2179,555,866,1836,1927
AT1G03170,FAF2,36,58,8,15,33,31
AT1G03180,,34,111,35,53,117,123
AT1G03190,XPD,296,642,223,362,703,543
AT1G03200,,32,123,37,34,116,124
AT1G03210,,183,494,210,203,774,466
AT1G03220,,1969,4642,2850,2160,9595,3818
AT1G03230,,761,1497,355,537,1192,1222
AT1G03240,,1,4,4,2,6,4
AT1G03250,,678,1438,389,604,1479,1327
AT1G03260,,261,446,149,202,568,472
AT1G03270,CBSDUF4,49,100,30,48,138,90
AT1G03280,,743,1624,506,741,1766,1685
AT1G03290,,449,1023,302,443,959,854
AT1G03300,DUF1,118,304,106,156,377,317
AT1G03310,ISA2,694,1320,442,692,1489,1460
AT1G03320,,3,4,3,6,16,7
AT1G03330,LSM2,517,934,365,529,1326,937
AT1G03340,,29,72,26,50,94,64
AT1G03350,,1536,3244,965,1201,3376,3085
AT1G03360,RRP4,549,1222,463,815,1879,1133
AT1G03365,RF4,410,969,331,502,1119,975
AT1G03370,,1297,3098,897,1361,2825,2710
AT1G03380,ATG18G,677,1593,491,612,1675,1598
AT1G03390,,6,14,4,4,9,11
AT1G03400,,279,476,106,198,359,366
AT1G03410,2A6,168,375,107,138,390,387
AT1G03420,,2,8,1,3,8,6
AT1G03430,AHP5,280,613,207,294,597,548
AT1G03440,,303,646,207,336,734,651
AT1G03445,BSU1,17,26,8,10,29,15
AT1G03457,,220,574,241,236,737,623
AT1G03470,NET3A,99,234,44,129,283,294
AT1G03475,CPX1,3788,6703,1797,3025,7111,6495
AT1G03490,NAC006,0,1,1,0,0,2
AT1G03495,,336,614,236,416,687,582
AT1G03502,,20,42,24,29,92,40
AT1G03506,,4,10,4,11,17,18
AT1G03510,PCMP-E3,48,93,27,35,71,89
AT1G03515,,1,0,0,0,0,0
AT1G03520,,193,395,148,193,424,420
AT1G03530,ATNAF1,685,1689,767,1283,2633,1469
AT1G03540,PCMP-E4,44,138,41,52,143,176
AT1G03545,,29,54,17,37,63,70
AT1G03550,SCAMP2,82,276,92,96,331,295
AT1G03560,,321,755,235,347,806,773
AT1G03570,,0,0,0,0,0,0
AT1G03580,,26,46,10,12,48,58
AT1G03590,PPC6-6,1158,2659,1014,1204,3183,2461
AT1G03600,PSB27-1,3844,4704,1372,1957,6163,4418
AT1G03610,,308,690,164,273,634,590
AT1G03620,,25,42,10,12,34,53
AT1G03630,PORC,2832,4371,1231,2161,4655,4252
AT1G03640,,0,0,0,0,0,0
AT1G03650,,65,119,38,46,152,110
AT1G03660,,4,23,7,7,24,14
AT1G03670,,2,2,1,1,1,0
AT1G03680,ATHM1,5896,7536,2624,4110,9992,7691
AT1G03687,,284,549,147,264,703,507
AT1G03700,,6,30,43,27,143,27
AT1G03710,,4,15,5,9,15,12
AT1G03720,,0,0,0,0,0,0
AT1G03730,,374,746,210,281,670,764
AT1G03740,,2323,5773,1637,2268,4991,4880
AT1G03743,,1,1,1,3,0,1
AT1G03746,,0,1,0,1,1,0
AT1G03750,SWI2,123,287,96,119,259,306
AT1G03760,,228,514,191,304,593,504
AT1G03770,RING1B,165,403,168,225,462,410
AT1G03780,TPX2,172,362,106,198,387,500
AT1G03790,SOM,6,23,3,2,32,17
AT1G03800,ERF10,8,12,2,5,10,6
AT1G03810,,0,0,0,0,0,0
AT1G03820,,64,200,91,167,316,201
AT1G03830,,176,489,173,253,595,559
AT1G03840,MGP,34,103,75,114,367,109
AT1G03850,,143,324,239,279,884,364
AT1G03860,PHB2,1793,3409,1229,1795,4232,3286
AT1G03870,FLA9,4445,8910,2449,2403,10982,9360
AT1G03880,CRB,1,1,2,0,8835,12
AT1G03890,CRD,0,11,1,1,239,3
AT1G03900,ATNAP4,2262,4481,1328,1721,5209,4283
AT1G03905,ABCI19,148,385,93,137,393,262
AT1G03910,CTN,1391,3288,1048,1494,3750,3132
AT1G03920,,21,120,52,50,239,93
AT1G03930,CKL9,947,2100,1281,1613,4684,2337
AT1G03935,,16,28,20,35,87,37
AT1G03940,3AT1,200,388,173,301,512,364
AT1G03950,VPS2.3,346,772,251,283,916,670
AT1G03960,B''EPSILON,222,511,203,299,546,554
AT1G03970,GBF4,189,410,118,145,413,374
AT1G03980,ATPCS2,6,39,6,23,41,31
AT1G03982,RIC8,6,5,1,5,2,9
AT1G03990,FAO1,239,430,84,202,254,328
AT1G04000,,630,822,214,418,754,837
AT1G04010,PSAT,205,537,129,208,446,446
AT1G04020,ATBARD1,145,242,103,159,273,312
AT1G04030,,92,260,87,101,297,248
AT1G04040,,5135,11216,3501,3573,11995,11425
AT1G04050,SUVR1,68,168,44,76,200,189
AT1G04070,TOM9-1,168,327,110,158,394,322
AT1G04080,PRP39,2678,6174,2104,2817,6953,5792
AT1G04090,,31,80,28,21,66,54
AT1G04100,IAA10,136,332,91,124,332,300
AT1G04110,SBT1.2,90,226,54,117,177,252
AT1G04120,ABCC5,2789,7059,1712,3000,5171,6126
AT1G04130,TPR2,306,624,174,359,599,565
AT1G04140,,2277,5150,1682,2401,5757,5040
AT1G04150,,4,5,0,2,3,5
AT1G04160,XI-B,346,925,342,419,1127,1005
AT1G04170,EIF2 GAMMA,2937,6251,2290,3617,7410,6132
AT1G04171,,0,0,0,0,0,1
AT1G04180,YUC9,19,67,20,17,85,70
AT1G04190,TPR3,607,1288,526,804,1748,1520
AT1G04200,,824,1943,750,880,2247,2122
AT1G04210,,1966,4734,1998,3481,6182,4782
AT1G04220,KCS2,153,371,270,295,869,440
AT1G04230,,298,509,186,285,614,550
AT1G04240,SHY2,1660,3829,2117,2357,7950,4663
AT1G04250,IAA17,603,1897,1032,1214,4912,1811
AT1G04260,PRA1D,317,561,148,204,693,621
AT1G04270,RPS15A,5914,11510,4197,6289,15586,11668
AT1G04280,,209,658,263,297,1047,723
AT1G04290,,105,170,75,110,220,183
AT1G04295,,1,7,1,0,2,3
AT1G04300,,1776,4304,1336,1915,4622,4069
AT1G04310,ERS2,267,623,123,179,485,609
AT1G04320,,0,0,0,0,0,0
AT1G04330,,5,4,3,4,13,7
AT1G04340,,401,744,266,388,972,866
AT1G04350,,1176,1747,438,838,1389,1530
AT1G04360,ATL1,34,90,85,103,348,127
AT1G04370,ERF14,1,6,3,7,21,9
AT1G04380,,2,2,0,0,6,5
AT1G04390,,188,451,121,233,470,385
