#developmental stage,seeding,,,,,,,
#organism part,whole organism,,,,,,,
#genotype,columbia,,,,,,,
#compound,brassinazole,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Col_BRZ_rep3,Col_mock_rep3,Col_mock_rep1,Col_mock_rep2,Col_BRZ_rep2,Col_BRZ_rep1
AT1G02330,,259415_at,8.086652575,7.876712705,7.461392088,7.668301761,7.788750558,7.792411311
AT1G02340,HFR1,259417_at,10.76115199,10.54376759,10.44499016,10.47248295,10.58804757,10.62510321
AT1G02360,,259443_at,8.278857057,7.942833842,7.700205485,8.210355553,8.386537323,8.530022893
AT1G02370,,259444_at,4.908456905,4.994191096,4.908456905,4.626405583,4.937619374,4.775919636
AT1G02390,GPAT2,259418_at,4.378976801,4.536966582,4.217329665,4.495551136,4.533585153,4.379308276
AT1G02400,GA2OX6,259445_at,7.550561326,8.855685091,8.652505338,8.700937171,7.634582608,7.382581356
AT1G02410,COX11,259446_at,6.999157033,6.999157033,6.708545004,6.683346202,6.761834561,6.978368732
AT1G02420,,259414_at,5.523556272,5.57859079,5.457672905,5.523556272,5.603741466,5.475951843
AT1G02450,NIMIN-1,260904_at,4.275332694,4.353084357,4.21118342,4.635272157,4.378501168,4.389669605
AT1G02460,,260903_at,5.602828449,5.588490798,5.274087126,5.912924674,5.617248613,5.5471265
AT1G02470,,260933_at,5.595252078,5.246019134,4.763387157,4.819107274,5.424962513,5.530118728
AT1G02475,,260916_at,6.787594172,6.960677211,6.878443956,6.447671501,6.996123856,6.959255052
AT1G02490,,260911_at,4.517640973,4.517640973,4.462168612,5.575981519,4.383656709,4.517640973
AT1G02500,SAM1,260913_at,11.79358419,11.74243741,11.68064876,11.65460578,11.82793683,11.79358419
AT1G02540,,260906_at,4.203674759,4.296824462,4.635804911,4.736435118,4.198931969,4.574584356
AT1G02550,,260931_at,4.946888045,4.946888045,4.886931514,5.295468709,4.931512188,4.937503455
AT1G02560,CLPP5,260912_at,9.337561484,9.181244883,8.925205598,8.937606274,9.186762959,8.9407285
AT1G02575,,260907_at,4.713740373,4.744777543,4.58197226,4.935993283,4.713740373,4.671675242
AT1G02580,MEA,260908_at,4.888681941,5.100434753,4.739883822,4.682526168,5.037927769,4.963053428
AT1G02620,,260930_at,5.268559439,5.076892018,4.911926709,4.534165882,5.194472549,5.058574568
AT1G02640,BXL2,260914_at,10.43485793,10.37819072,10.35966887,10.26325931,10.42828019,10.37819072
AT1G02660,,260915_at,8.262864798,8.425988363,8.215310393,8.425988363,8.046698012,8.185864824
AT1G02670,,260909_at,4.651103373,4.766550505,4.87393424,4.866377618,4.743572075,4.599965682
AT1G02680,TAF13,260929_at,6.974635422,6.884189802,6.309524845,6.870622445,7.054950565,6.785823748
AT1G02690,IMPA-6,260910_at,5.900544632,6.286929819,6.533786305,6.374762923,6.131325837,5.916930573
AT1G02700,,260917_at,4.756483474,5.033511422,5.002601478,5.594841427,4.918551489,5.052683945
AT1G02710,,260905_at,5.330708703,5.387733247,5.576783885,5.336790802,5.163951464,5.58807292
AT1G02720,GATL5,260928_at,5.51461064,5.244564086,4.876714521,4.860300365,5.293734722,5.073249979
AT1G02730,CSLD5,262109_at,6.132136372,6.9745843,6.397937412,6.044033777,5.778639046,6.217989276
AT1G02740,MRG2,262108_at,5.23790276,5.32015242,5.32015242,5.48597231,5.322156709,5.319456134
AT1G02750,DI19-2,262107_at,7.992797214,8.231904447,8.070866761,7.75622946,7.970621997,7.831237179
AT1G02780,RPL19A,262117_at,11.46064024,11.36345556,11.40076699,11.37515642,11.4326851,11.50968946
AT1G02790,PGA3,262122_at,4.086134642,4.340367341,4.02173339,5.047812256,4.175237319,4.185457815
AT1G02800,CEL2,262121_at,6.457911793,7.723602097,7.561287783,7.641566135,6.457911793,6.476781147
AT1G02810,PME7,262105_at,5.775224707,6.317946834,6.29500856,5.788981771,6.233364786,5.697375781
AT1G02813,,262115_at,4.000018715,4.062084868,4.19917066,4.498275319,4.000222032,4.111400765
AT1G02816,,262116_at,9.202646317,9.060956366,9.035910067,9.077984134,8.832661749,9.027164012
AT1G02820,LEA2,262113_at,4.775994788,4.764387077,4.943144175,4.764387077,4.764387077,4.764387077
AT1G02830,RPL22A,262132_at,4.02166381,4.036231253,3.840870946,4.302500426,3.909207871,4.02166381
AT1G02840,SR34,262110_at,10.7652433,10.79611492,10.84444732,10.66011693,10.73635827,10.79611492
AT1G02850,BGLU11,262118_at,9.156882188,9.628270405,9.602321111,9.457407306,9.264894843,8.836665082
AT1G02860,BAH1,262114_at,9.812012509,9.959798373,9.942709598,10.07497963,9.686374544,9.82905334
AT1G02870,,262112_at,6.641414759,6.643329433,6.419525935,5.668017887,6.761235834,6.52108018
AT1G02890,,262130_at,9.038986526,8.972083049,8.857324049,9.023242208,9.039538891,9.096351866
AT1G02900,RALF1,262131_at,10.03295067,9.541082697,9.343206014,9.58252235,10.07506094,10.2350011
AT1G02910,LPA1,262104_at,7.198222145,7.044840759,7.0615256,6.94253174,7.52137113,7.014779833
AT1G02940,ATGSTF5,262103_at,3.941378125,4.010798885,4.046135097,4.019722462,4.02013941,3.991190064
AT1G02950,ATGSTF4,262120_at,6.535014301,6.611661019,6.187880258,5.86113849,6.286583798,6.430007034
AT1G02960,,262111_at,7.484892245,7.411130257,7.078079663,6.923532427,7.645181792,7.44820993
AT1G02970,WEE1,262106_at,4.408758386,4.676229317,4.277510606,4.656998722,4.510454521,4.510454521
AT1G02980,CUL2,262102_at,4.185205859,4.336779188,4.5141182,4.464118904,4.336779188,4.31729582
AT1G03000,PEX6,263170_at,7.825200484,7.611003667,7.60527186,7.30800616,7.718683354,7.826008505
AT1G03010,,263169_at,4.391955165,4.091557806,4.073409987,4.05225656,4.165326461,4.33679412
AT1G03020,GRXS1,263168_at,4.196628727,4.035097385,4.449973222,4.742369577,4.126589074,4.196628727
AT1G03030,,263167_at,6.647713464,6.795147139,6.276542652,6.382052076,6.951089424,6.626296576
AT1G03040,,263117_at,8.14895946,8.361853261,8.67900265,8.461403869,8.405892362,8.246598051
AT1G03050,,263166_at,3.959947066,4.32200488,4.277087104,4.916378849,4.031619576,4.023873174
AT1G03055,D27,263115_at,4.448547618,4.449076904,4.232891841,4.645995278,4.454343021,4.350274003
AT1G03060,SPI,263165_at,8.101094522,8.195748442,8.152654106,8.22790016,8.325264827,8.261521961
AT1G03070,,263164_at,6.033911495,6.172460734,5.094283037,5.411941966,6.065232311,5.718236924
AT1G03080,NET1D,263112_at,7.522155985,7.7552648,7.416139578,7.779985219,7.741293467,7.779985219
AT1G03090,MCCA,263118_at,12.41218411,12.27957325,12.22451711,12.22436149,12.57508401,12.5159257
AT1G03100,,263143_at,4.584387285,4.657640361,4.584387285,4.584387285,4.662034905,4.579116185
AT1G03110,TRM82,263119_at,5.47820296,5.592681405,5.53867871,5.533328698,5.683896015,5.691285896
AT1G03130,PSAD2,263114_at,9.964763211,9.677413372,9.465599148,9.529576358,10.0137282,10.00777824
AT1G03150,NAA20,263113_at,7.879575484,7.79492905,7.483772154,6.773932246,7.921858177,7.826008505
AT1G03160,FZL,263163_at,6.586322139,6.719489936,6.22118824,6.357164196,6.772322318,6.635742975
AT1G03170,FAF2,264363_at,5.238691785,4.681469775,4.752621996,4.916383104,5.528993551,5.203314981
AT1G03180,,264358_at,4.967204983,4.995820958,4.674180732,4.900501404,5.257590407,5.188566992
AT1G03190,XPD,264356_at,5.823125124,5.986185723,5.728611355,5.519922271,5.957646187,5.78861903
AT1G03210,,264355_at,8.439132129,8.235198428,8.018419715,8.257160944,8.583350489,8.205099203
AT1G03250,,264366_at,6.574130879,6.508977507,6.508977507,6.043926676,6.508977507,6.508977507
AT1G03260,,264353_at,6.770223459,6.554674272,6.471419773,5.696748388,6.753521987,6.778800237
AT1G03270,CBSDUF4,264352_at,4.241751571,4.194495678,4.280547317,4.253551212,4.194495678,4.140431553
AT1G03280,,264368_at,8.208435653,8.066338651,7.965964766,8.066338651,8.059191979,8.105215664
AT1G03290,,264362_at,8.006798487,7.948501548,7.54506988,7.386750699,8.104783976,7.937557499
AT1G03300,DUF1,264361_at,4.534241763,4.454187942,4.426684811,4.95985378,4.510888361,4.629360297
AT1G03310,ISA2,264360_at,5.731905178,5.745035198,5.602699617,5.53064287,5.745035198,5.950840115
AT1G03320,,264359_at,4.479567975,4.543545163,4.709358105,5.007213368,4.367495031,4.422081882
AT1G03330,LSM2,264364_at,8.969118371,8.652314785,8.420651298,8.355246496,8.770650453,9.02265289
AT1G03350,,264367_at,9.462361713,9.39838041,9.266561532,9.275515283,9.479398136,9.660304346
AT1G03360,RRP4,264357_at,4.479453503,4.502859719,4.255908795,4.309940071,4.547177261,4.62642027
AT1G03370,,264351_at,7.461169359,7.709822378,7.494296724,7.70278228,7.609263387,7.395518573
AT1G03380,ATG18G,264828_at,8.880757602,8.711418389,8.269190072,8.444903115,8.567696448,8.828682997
AT1G03390,,264827_at,4.403461151,4.089608772,4.060865535,5.105100917,4.228165721,4.196628727
AT1G03400,,264843_at,6.897724535,7.196899751,7.065911579,6.550846926,6.957413406,6.883074258
AT1G03410,2A6,264826_at,5.923741822,5.797400493,6.547296387,4.678348322,5.617328855,5.972019116
AT1G03430,AHP5,264838_at,7.966568053,8.028001777,7.552406129,7.858278307,7.8964345,7.993416396
AT1G03440,,264840_at,5.784240154,5.631954549,5.316395336,5.76604547,5.719107232,5.679497226
AT1G03445,BSU1,264823_at,5.254850736,5.338295524,5.235600879,5.316033643,5.097866183,5.254850736
AT1G03457,,264822_at,7.469580398,7.470997606,7.0615256,7.469580398,7.303844544,7.489630245
AT1G03470,NET3A,264821_at,6.721025398,6.770940629,6.481023997,6.443323164,6.576478824,6.770940629
AT1G03475,CPX1,264820_at,8.002384535,7.992096036,7.635380639,7.369733717,7.808696206,8.019693403
AT1G03490,NAC006,264829_at,3.933900912,3.928835111,3.750959069,4.443045458,4.029570748,4.029570748
AT1G03510,PCMP-E3,264819_at,4.327652226,4.444929271,4.592467511,4.582700614,4.2683058,4.338598845
AT1G03520,,264844_at,7.35204807,7.456302814,7.039836434,6.947802841,7.573571307,7.307872071
AT1G03530,ATNAF1,264818_at,5.469525956,5.553479022,5.469525956,5.067828913,5.605456986,5.413070163
AT1G03540,PCMP-E4,264817_at,4.840096235,4.840096235,4.840096235,4.93221094,4.836694301,4.71365925
AT1G03550,SCAMP2,264835_at,7.49758954,7.677303279,7.411960789,7.251590192,7.768742248,7.45463601
AT1G03560,,264816_at,5.313603241,4.976852668,4.692628417,4.774437342,5.149097354,5.013968062
AT1G03590,PPC6-6,264833_at,7.989945698,8.212292518,8.091380449,7.810553882,8.070473984,8.110648731
AT1G03600,PSB27-1,264837_at,11.26221463,10.97219381,10.55430522,10.71941298,11.20688244,11.2648746
AT1G03610,,264836_at,10.22312877,9.836548447,9.836838947,9.753778768,10.25785148,10.29421659
AT1G03620,,264815_at,5.021090219,5.021090219,4.738641838,4.634614012,5.021090219,5.024540179
AT1G03630,PORC,264839_at,7.118557883,7.355893672,6.986225662,7.012601262,7.139076043,7.055182119
AT1G03660,,264832_at,5.984869769,5.597370478,5.029799771,4.722398846,6.132425031,5.833513194
AT1G03680,ATHM1,264845_at,9.213795111,9.007886807,8.658528378,8.646527302,8.768636282,9.058461582
AT1G03687,,264831_at,5.390333015,5.322898948,5.390333015,5.504758786,5.447009404,5.500552747
