#organism part,whole organim,,,,,,
#age,12 (day),,,,,,
#dose,50 micromolar,,,,,,
#compound,,mock,mock,mock,abscisic acid,abscisic acid,abscisic acid
Gene ID,Gene Name,SRR1761506,SRR1761507,SRR1761508,SRR1761509,SRR1761510,SRR1761511
AT1G02810,PME7,93,114,153,66,59,52
AT1G02813,,3,1,1,1,2,1
AT1G02816,,111,143,327,804,515,438
AT1G02820,LEA2,0,2,14,5,1,2
AT1G02830,RPL22A,0,0,0,1,0,0
AT1G02840,SR34,1142,1399,2612,2378,1509,1983
AT1G02850,BGLU11,91,104,198,503,459,370
AT1G02860,BAH1,131,162,331,350,201,207
AT1G02870,,250,265,511,285,181,259
AT1G02880,TPK1,93,117,183,310,195,239
AT1G02890,,493,673,1196,882,728,698
AT1G02900,RALF1,123,131,270,174,116,123
AT1G02910,LPA1,223,265,594,398,329,345
AT1G02920,GSTF7,724,651,1108,319,353,238
AT1G02930,GSTF6,442,431,717,751,580,381
AT1G02940,ATGSTF5,0,1,3,2,2,5
AT1G02950,ATGSTF4,48,46,90,93,65,51
AT1G02952,,0,0,3,0,0,0
AT1G02960,,134,163,369,360,223,244
AT1G02965,,0,0,0,0,0,0
AT1G02970,WEE1,11,8,13,9,9,14
AT1G02980,CUL2,0,1,1,0,2,1
AT1G02990,,65,87,168,150,142,118
AT1G03000,PEX6,154,173,368,334,227,286
AT1G03010,,6,9,8,21,12,24
AT1G03020,GRXS1,0,0,1,0,0,0
AT1G03022,,0,0,0,0,0,0
AT1G03030,,118,146,286,345,243,231
AT1G03040,,224,305,605,522,379,409
AT1G03050,,0,0,0,0,0,1
AT1G03055,D27,5,1,11,20,14,6
AT1G03060,SPI,223,263,444,376,278,321
AT1G03070,,5,4,18,49,38,23
AT1G03080,NET1D,341,476,837,918,662,739
AT1G03090,MCCA,2154,2953,5388,4447,2806,2998
AT1G03100,,17,20,24,15,17,25
AT1G03103,,0,1,1,1,0,0
AT1G03106,,0,0,1,3,2,2
AT1G03110,TRM82,57,54,113,42,59,45
AT1G03120,ATRAB28,5,4,9,13,11,13
AT1G03130,PSAD2,8271,9202,24217,20152,20031,16400
AT1G03140,,439,557,1061,840,708,801
AT1G03150,NAA20,110,153,310,239,246,205
AT1G03160,FZL,251,292,651,500,426,402
AT1G03170,FAF2,6,4,7,5,10,7
AT1G03180,,19,23,39,26,24,19
AT1G03190,XPD,38,50,112,91,71,73
AT1G03200,,13,11,19,12,17,29
AT1G03210,,61,124,207,149,98,112
AT1G03220,,1128,1168,2220,5939,4016,4467
AT1G03230,,434,481,784,407,359,329
AT1G03240,,0,0,0,0,0,1
AT1G03250,,136,157,346,292,205,218
AT1G03260,,55,75,129,99,81,71
AT1G03270,CBSDUF4,24,40,69,64,53,59
AT1G03280,,188,265,478,463,389,435
AT1G03290,,144,214,385,519,401,459
AT1G03300,DUF1,31,41,111,86,69,69
AT1G03310,ISA2,126,147,399,435,353,389
AT1G03320,,4,3,13,6,4,3
AT1G03330,LSM2,164,183,404,365,232,271
AT1G03340,,9,13,22,26,20,24
AT1G03350,,189,228,524,501,359,380
AT1G03360,RRP4,51,52,150,68,59,48
AT1G03365,RF4,112,145,245,235,230,225
AT1G03370,,65,109,194,185,132,164
AT1G03380,ATG18G,243,330,679,675,515,604
AT1G03390,,0,0,0,1,1,0
AT1G03400,,116,124,301,263,238,156
AT1G03410,2A6,61,61,168,99,84,107
AT1G03420,,1,2,2,4,5,5
AT1G03430,AHP5,88,89,202,189,108,107
AT1G03440,,158,198,538,306,262,210
AT1G03445,BSU1,1,2,6,1,0,4
AT1G03457,,72,86,151,121,56,96
AT1G03470,NET3A,100,121,245,207,144,169
AT1G03475,CPX1,991,1160,2662,1677,1345,1199
AT1G03490,NAC006,0,0,0,0,2,0
AT1G03495,,19,26,70,49,39,52
AT1G03502,,6,2,11,5,6,6
AT1G03506,,7,2,6,5,2,1
AT1G03510,PCMP-E3,10,12,28,8,13,2
AT1G03515,,0,0,0,0,0,0
AT1G03520,,100,122,249,291,226,192
AT1G03530,ATNAF1,106,125,189,150,107,104
AT1G03540,PCMP-E4,2,2,5,2,0,3
AT1G03545,,8,5,19,15,6,5
AT1G03550,SCAMP2,122,166,352,301,238,279
AT1G03560,,44,62,123,72,69,52
AT1G03570,,0,0,0,0,0,0
AT1G03580,,137,271,394,57,47,46
AT1G03590,PPC6-6,202,290,561,507,340,341
AT1G03600,PSB27-1,2460,3023,7533,5992,4388,4535
AT1G03610,,263,318,664,680,520,499
AT1G03620,,21,20,57,68,28,33
AT1G03630,PORC,676,775,2202,1868,1584,1280
AT1G03640,,0,0,0,0,0,0
AT1G03650,,27,33,66,38,25,26
AT1G03660,,3,5,8,4,3,4
AT1G03670,,1,0,0,1,0,0
AT1G03680,ATHM1,1451,1647,4603,3385,2725,2408
AT1G03687,,76,109,211,155,114,112
AT1G03700,,3,1,10,16,13,6
AT1G03710,,0,2,1,1,0,1
AT1G03720,,0,0,0,0,0,0
AT1G03730,,36,46,135,88,81,64
AT1G03740,,282,328,640,359,325,331
AT1G03743,,0,0,0,0,0,0
AT1G03746,,0,0,0,0,0,0
AT1G03750,SWI2,28,43,87,86,55,57
AT1G03760,,118,164,257,166,109,154
AT1G03770,RING1B,51,65,118,106,90,72
AT1G03780,TPX2,93,99,195,137,89,124
AT1G03790,SOM,2,12,19,611,423,383
AT1G03800,ERF10,4,9,7,8,6,9
AT1G03810,,0,0,0,0,0,0
AT1G03820,,62,81,203,207,122,80
AT1G03830,,55,63,144,72,57,83
AT1G03840,MGP,25,22,38,13,10,6
AT1G03850,,70,98,189,154,99,83
AT1G03860,PHB2,413,490,918,680,471,472
AT1G03870,FLA9,1982,2437,5745,1979,1553,1378
AT1G03880,CRB,0,0,0,0,0,0
AT1G03890,CRD,0,0,0,0,0,0
AT1G03900,ATNAP4,618,841,1580,1432,1080,1159
AT1G03905,ABCI19,15,16,33,53,31,42
AT1G03910,CTN,268,338,629,576,437,504
AT1G03920,,5,8,19,26,17,11
AT1G03930,CKL9,176,203,510,402,261,353
AT1G03935,,9,16,23,18,15,15
AT1G03940,3AT1,15,24,35,36,18,22
AT1G03950,VPS2.3,72,104,196,247,191,189
AT1G03960,B''EPSILON,62,73,155,131,109,134
AT1G03970,GBF4,74,105,215,191,164,142
AT1G03980,ATPCS2,4,1,5,6,6,5
AT1G03982,RIC8,0,0,0,0,0,0
AT1G03990,FAO1,23,42,109,74,40,60
AT1G04000,,107,116,300,187,150,161
AT1G04010,PSAT,50,70,149,85,58,55
AT1G04020,ATBARD1,26,35,51,36,34,49
AT1G04030,,38,62,76,48,43,51
AT1G04040,,848,1060,1965,926,771,678
AT1G04050,SUVR1,10,16,27,21,18,17
AT1G04070,TOM9-1,45,48,105,92,53,59
AT1G04080,PRP39,608,734,1546,1264,950,993
AT1G04090,,3,3,8,7,5,4
AT1G04100,IAA10,18,35,85,58,52,46
AT1G04110,SBT1.2,51,57,143,111,86,44
AT1G04120,ABCC5,214,286,521,707,597,652
AT1G04130,TPR2,44,34,79,96,67,74
AT1G04140,,530,653,1380,1283,970,1012
AT1G04150,,0,2,1,1,2,2
AT1G04160,XI-B,22,31,65,38,45,58
AT1G04170,EIF2 GAMMA,499,590,1160,816,623,627
AT1G04171,,0,0,0,0,0,0
AT1G04180,YUC9,13,16,31,14,26,13
AT1G04190,TPR3,148,165,313,276,182,199
AT1G04200,,102,161,295,269,215,193
AT1G04210,,125,165,337,251,194,202
AT1G04220,KCS2,76,90,179,1901,1165,1317
AT1G04230,,51,60,134,145,111,110
AT1G04240,SHY2,52,82,181,187,124,136
AT1G04250,IAA17,79,97,142,128,84,90
AT1G04260,PRA1D,94,68,192,146,113,89
AT1G04270,RPS15A,1751,2211,3954,3030,2070,2279
AT1G04280,,277,331,659,403,298,319
AT1G04290,,68,107,190,146,110,120
AT1G04295,,1,2,6,3,3,1
AT1G04300,,520,759,1312,1074,893,1076
AT1G04310,ERS2,83,85,164,357,234,236
AT1G04320,,0,0,0,0,0,0
AT1G04330,,4,3,1,5,1,3
AT1G04340,,126,155,305,282,186,188
AT1G04350,,95,108,351,330,286,192
AT1G04360,ATL1,30,44,86,181,127,145
AT1G04370,ERF14,1,1,2,1,0,0
AT1G04380,,0,1,3,5,0,1
AT1G04390,,49,52,123,112,78,80
AT1G04400,CRY2,1113,1419,2746,2899,2424,2091
AT1G04410,MDH1,2820,3480,6935,6571,4776,4062
AT1G04420,,295,378,925,622,438,429
AT1G04425,,31,34,73,63,49,65
AT1G04430,,613,792,1732,1378,1019,1056
AT1G04440,CKL13,530,797,1725,1968,1376,1399
AT1G04445,,0,2,2,3,4,1
AT1G04450,RIC3,0,0,0,0,0,0
AT1G04457,,0,0,0,0,0,0
AT1G04470,,0,0,0,2,0,0
AT1G04480,RPL23B,671,667,1229,897,629,585
AT1G04490,,0,3,2,5,12,7
AT1G04500,,1,1,2,4,2,7
AT1G04501,,0,0,0,0,0,0
AT1G04510,PRP19A,314,333,647,508,432,443
AT1G04520,CRRSP3,61,67,127,51,48,49
AT1G04530,TPR4,160,207,409,286,218,187
AT1G04540,,9,10,5,10,7,8
AT1G04550,IAA12,54,69,139,91,78,71
AT1G04555,,44,60,107,126,88,87
AT1G04560,,0,0,3,72,33,45
AT1G04570,,4,3,7,13,7,9
AT1G04580,AAO4,1,0,0,5,1,1
AT1G04590,,102,133,208,173,145,147
AT1G04600,XI-A,2,3,9,1,3,3
AT1G04610,YUC3,10,13,20,3,7,1
AT1G04620,HCAR,359,403,948,824,711,622
AT1G04625,,0,0,0,0,0,0
AT1G04630,MEE4,171,194,426,305,286,249
AT1G04635,EMB1687,8,14,19,13,6,13
AT1G04640,LIP2,138,147,400,237,168,182
AT1G04645,SPH5,0,0,0,0,0,0
AT1G04650,,6,7,22,8,14,10
AT1G04660,,3,2,7,1,1,1
AT1G04670,,0,0,0,1,0,1
