#organism part,whole organism,,,,,,,
#developmental stage,seeding,,,,,,,
#ecotype,columbia,,,,,,,
#compound,,,none,1 micromolar brassinolide,1 micromolar brassinolide,1 micromolar brassinolide,none,none
Gene ID,Gene Name,DesignElementAccession,GSM520749,GSM520758,GSM520757,GSM520756,GSM520750,GSM520748
AT1G01960,BIG3,261621_at,8.719852594,8.395765338,8.630027245,8.548227289,8.463923773,8.667981204
AT1G01970,,261622_at,7.695845049,7.669374332,7.710286536,7.650753089,6.749367668,7.433483897
AT1G01980,SEC1A,261623_at,3.336325631,3.464493064,3.214392977,3.369500698,3.343253159,3.26180104
AT1G01990,,261626_at,8.137941575,8.3213121,8.02866926,8.16052531,8.390324821,8.431139357
AT1G02000,GAE2,261624_at,6.416621491,6.479014477,6.638443126,6.509575759,6.659328404,6.251894237
AT1G02020,,264169_at,6.480626436,6.364332714,6.541065378,6.394720024,6.669404201,6.407859951
AT1G02050,PKSA,264175_at,5.861449102,5.843936054,5.625617067,5.532738631,5.623562681,5.468408558
AT1G02060,,264167_at,4.0637403,4.308740796,4.584413256,4.433848799,4.101507482,4.388951107
AT1G02070,,264151_at,3.809816688,3.901247764,3.633630678,3.515487405,3.699140647,3.550687879
AT1G02080,,264168_at,9.098956941,8.442209673,9.035322722,8.650372092,9.04814432,8.847273038
AT1G02090,CSN7,264150_at,7.353796141,7.649068736,7.620666214,7.718604921,7.799697796,7.397852375
AT1G02100,,264171_at,8.633513763,8.723810085,8.844298813,8.61226871,8.694385108,8.516823162
AT1G02110,,264176_at,6.262387449,6.274258114,6.284152667,6.338855884,5.566467198,5.921785462
AT1G02120,VAD1,264172_at,9.111226064,8.845915014,9.019048543,9.009236872,9.562716461,9.326561325
AT1G02130,RABD2A,264122_at,8.638625213,8.805262776,8.671267499,8.681087339,8.573728389,8.608450777
AT1G02140,MEE63,264152_at,10.72010694,10.91819843,10.85317568,11.06870344,10.55452913,10.75883611
AT1G02150,,264177_at,10.1448928,9.668238073,9.976460109,9.682110491,8.514943009,9.621105052
AT1G02160,,264173_at,9.336106537,9.714088492,9.462103109,9.761486382,9.017263169,9.492883948
AT1G02170,AMC1,264178_at,8.953310808,8.844097323,8.689252175,8.690412622,10.04511539,9.185878729
AT1G02180,,264179_at,5.328568916,5.167067121,5.021102829,5.253692021,5.011824642,4.972758281
AT1G02190,,264180_at,3.766904333,3.929808131,4.00149448,3.613822103,3.869222544,3.734788529
AT1G02205,CER1,264146_at,4.616277662,4.569357457,4.789562065,4.775525897,4.47349294,4.678636392
AT1G02205,CER1,264147_at,4.076417653,3.660413871,4.288022503,4.042810739,4.084756287,3.909447264
AT1G02220,NAC003,264148_at,4.601125534,4.731722798,4.703571756,5.258509369,7.680550127,5.44843184
AT1G02250,NAC005,264149_at,3.281494536,3.094115997,3.246380939,3.208710949,3.191591556,3.23897733
AT1G02260,,264170_at,7.395910615,7.179599144,7.09853768,7.244908512,7.306776687,7.354399383
AT1G02270,,264123_at,7.991426756,8.564584575,8.412296805,8.57645658,8.14702984,8.297357161
AT1G02280,TOC33,264121_at,10.35496243,10.43194336,10.42513144,10.245041,9.060701841,9.998511245
AT1G02300,CATHB1,259441_at,8.707666986,8.392756592,8.907668292,8.652498693,7.142936446,8.397955659
AT1G02305,CATHB2,259416_at,10.50287338,10.46828214,10.44567347,10.54364589,9.72529714,10.46844524
AT1G02310,MAN1,259442_at,4.190096985,4.282358331,3.989548187,3.892682809,4.085577343,3.87618316
AT1G02320,,259413_at,2.877193957,2.781341205,2.851807495,2.760117462,2.886626201,2.998034227
AT1G02330,,259415_at,7.832086856,7.813838221,8.025625939,7.865350227,8.523309135,7.895210699
AT1G02340,HFR1,259417_at,6.44380656,6.570616569,6.275032882,5.887579989,5.365021587,5.739337737
AT1G02360,,259443_at,7.193432417,7.705030527,7.66677387,8.179468158,11.9672871,10.70589343
AT1G02370,,259444_at,5.616418276,5.835605798,5.920032593,6.301275731,5.435986166,5.666805555
AT1G02390,GPAT2,259418_at,3.533175914,3.661544734,3.565325258,3.516780416,3.847766314,3.774500167
AT1G02400,GA2OX6,259445_at,6.55505486,7.204903871,6.794041022,6.981460879,9.150716669,7.843713383
AT1G02410,COX11,259446_at,7.983728722,8.226315308,8.178771716,8.023694713,8.705972824,8.271162193
AT1G02420,,259414_at,5.524212987,5.555104354,5.592153593,5.861274088,5.445663205,5.309493673
AT1G02450,NIMIN-1,260904_at,3.621740118,3.348754174,3.53202049,3.411176903,6.147597155,3.422602352
AT1G02460,,260903_at,4.92507268,4.641764255,4.825853817,4.421854909,4.798446854,4.702058555
AT1G02470,,260933_at,7.154236791,7.427058442,7.370662578,7.619627468,5.765065671,7.758894516
AT1G02475,,260916_at,9.52583087,9.614447509,9.267146577,9.544507456,8.897753915,9.321747563
AT1G02490,,260911_at,3.841866294,4.02695302,4.250859692,3.884352559,4.121788393,3.854218086
AT1G02500,SAM1,260913_at,11.82068964,11.50050043,11.85971602,11.78397189,12.62629189,11.81198561
AT1G02540,,260906_at,3.375806717,3.289066196,3.449690676,3.359180371,3.685193185,3.22448466
AT1G02550,,260931_at,4.381036425,4.229429376,4.474260407,4.360748039,4.903681739,4.495493144
AT1G02560,CLPP5,260912_at,11.49237351,11.31895869,11.38780382,11.43936413,10.86634333,11.348866
AT1G02575,,260907_at,4.519284685,4.283413065,4.188346078,4.02328318,4.50393837,4.28128147
AT1G02580,MEA,260908_at,4.400936336,4.080437354,3.896168248,3.83256204,4.388691157,3.953734224
AT1G02620,,260930_at,5.770274118,5.485802915,5.649222365,5.37895047,5.246587199,5.509119614
AT1G02640,BXL2,260914_at,7.827621236,7.649975007,7.722553177,7.563665261,7.117115745,7.563057418
AT1G02660,,260915_at,7.35709542,7.180411702,7.17730244,7.094712036,9.228016137,7.844321476
AT1G02670,,260909_at,4.31922174,4.275037584,4.6110407,4.129852601,4.266057963,4.390201888
AT1G02680,TAF13,260929_at,7.378527926,7.801175603,7.521054382,7.713482402,7.631192972,7.71603162
AT1G02690,IMPA-6,260910_at,6.811741347,6.751753258,6.847206676,6.846611567,6.482103128,6.581084504
AT1G02700,,260917_at,4.724973913,4.594511449,4.580671764,4.727437323,4.443751849,4.570515327
AT1G02710,,260905_at,5.980760297,5.904196314,6.128882919,5.622209716,5.77470049,5.487076511
AT1G02720,GATL5,260928_at,5.782333094,5.888475345,5.947957293,6.124120792,5.504240471,6.011487176
AT1G02730,CSLD5,262109_at,5.618637777,5.428263964,5.390474633,5.230372007,4.816867653,5.457908007
AT1G02740,MRG2,262108_at,5.936672791,6.070940042,5.888516745,6.20849027,6.524278088,5.951991698
AT1G02750,DI19-2,262107_at,8.074787748,8.361222336,8.155165929,8.076381942,8.265195582,8.105153906
AT1G02780,RPL19A,262117_at,12.10601583,12.03593998,12.20913531,12.0364016,12.07553535,12.03678495
AT1G02790,PGA3,262122_at,3.412128451,3.421565839,3.495410161,3.276556163,3.418616363,3.470172706
AT1G02800,CEL2,262121_at,4.4922689,4.090408651,4.118746092,4.197348791,4.089627691,4.203393849
