#age,6 (day),,,,,,,
#development stage,seedling,,,,,,,
#ecotype,Col-0,,,,,,,
#compound,,,1 micromolar indole-3-acetic acid,1 micromolar indole-3-acetic acid,none,1 micromolar indole-3-acetic acid,none,none
Gene ID,Gene Name,DesignElementAccession,Hybridization6,Hybridization4,Hybridization2,Hybridization5,Hybridization3,Hybridization1
AT1G02150,,264177_at,10.61217783,10.71476538,10.7015473,10.44069321,10.6686305,10.92307179
AT1G02160,,264173_at,9.997382508,9.829931851,9.819693591,9.750387826,9.845566202,9.634086904
AT1G02170,AMC1,264178_at,10.39336655,10.27642069,10.56166349,10.49238336,10.45639424,10.63572174
AT1G02180,,264179_at,6.479614919,6.813042978,6.529000631,6.922304279,6.522337186,6.740256007
AT1G02190,,264180_at,4.781823012,4.665450993,4.591944679,4.622508828,4.592091333,4.778049723
AT1G02205,CER1,264146_at,5.739537806,6.077485211,6.226632631,6.420267207,6.084059631,6.367569788
AT1G02205,CER1,264147_at,4.572188204,4.779329824,5.273517907,5.042835817,5.039748383,5.249958733
AT1G02220,NAC003,264148_at,5.085901502,5.073219607,6.376313439,5.254622113,5.912123462,6.003495323
AT1G02250,NAC005,264149_at,4.184188152,4.177918887,3.905564256,3.809582888,3.914779697,4.17931702
AT1G02260,,264170_at,8.233254332,8.251986075,8.110227687,8.12884859,8.067898415,8.124591229
AT1G02270,,264123_at,8.2254571,8.092156364,8.373101566,8.335657345,8.16776391,8.399217084
AT1G02280,TOC33,264121_at,10.87778812,10.67719136,10.90913697,10.84314668,11.02947429,10.94437355
AT1G02300,CATHB1,259441_at,9.060892348,9.033265976,9.566982878,8.723124213,9.357724458,8.91697974
AT1G02305,CATHB2,259416_at,12.05950274,12.12733412,12.04458631,11.91367043,12.09593667,11.9085397
AT1G02310,MAN1,259442_at,5.475484787,5.470722529,6.072419824,5.684392291,5.897790225,5.271215025
AT1G02320,,259413_at,3.32223261,3.413949273,3.362687454,3.48721007,3.578747118,3.33755554
AT1G02330,,259415_at,8.78725992,8.748063582,8.718851841,8.47895415,8.822417563,8.604992567
AT1G02340,HFR1,259417_at,9.49677905,9.223434769,9.454865501,8.991852347,9.386416779,9.497537202
AT1G02360,,259443_at,8.024302311,8.275639902,9.214353429,8.495868495,9.178871824,9.317119878
AT1G02370,,259444_at,7.327507499,7.516921489,7.32949467,7.533790273,7.342133481,7.000867964
AT1G02390,GPAT2,259418_at,5.3443835,5.241358285,5.424246999,5.577955517,5.311046119,5.577106804
