#age,3(day),,,,,,,
#ecotype,Col-0,,,,,,,
#dose,10  micromolar,,,,,,,
#compound,,,DMSO,indole-3-butyric acid,indole-3-butyric acid,DMSO,DMSO,indole-3-butyric acid
Gene ID,Gene Name,DesignElementAccession,GSM1436785,GSM1436787,GSM1436783,GSM1436781,GSM1436789,GSM1436791
AT1G02130,RABD2A,264122_at,8.126048838,7.810098502,8.058257906,8.217612233,8.237821596,7.932070483
AT1G02140,MEE63,264152_at,9.99403035,9.753654319,9.844482895,10.10385681,10.02708917,9.901794171
AT1G02150,,264177_at,6.674298584,6.834483492,6.51272982,6.595846655,6.528250276,6.602417272
AT1G02160,,264173_at,7.685307013,7.49749683,7.556571329,7.764181085,7.542948491,7.369047189
AT1G02170,AMC1,264178_at,7.142581111,7.521844583,7.344470607,7.315660177,7.249142686,7.271652794
AT1G02180,,264179_at,4.042039673,4.040382957,4.151158716,4.137557418,4.287493635,3.823316795
AT1G02190,,264180_at,2.467804811,2.240457883,2.489433111,1.984709119,2.129413915,2.049688277
AT1G02205,CER1,264146_at,3.986239526,3.570449572,3.293684,4.344381482,4.495883224,3.088337644
AT1G02205,CER1,264147_at,2.691831541,2.233404316,2.427090293,2.483407079,3.155644945,2.395795391
AT1G02220,NAC003,264148_at,4.300533087,5.139193131,4.853796426,4.357207587,4.082778214,5.237492543
AT1G02250,NAC005,264149_at,2.266752975,2.296139265,2.341865204,2.154599017,2.517193878,2.13107208
AT1G02260,,264170_at,7.169113435,7.188873955,7.223425874,6.87989475,7.099233973,6.912522628
AT1G02270,,264123_at,6.35039057,6.307793367,6.473844983,6.217891,6.416603703,6.322968906
AT1G02280,TOC33,264121_at,6.506698124,6.820413733,6.618520208,6.909492057,6.792973748,6.736839641
AT1G02300,CATHB1,259441_at,2.684611246,2.720838752,2.942668249,2.385339586,2.537251031,2.6570704
AT1G02305,CATHB2,259416_at,8.30026433,8.6846345,8.624306959,8.355671892,8.211804058,8.874293243
AT1G02310,MAN1,259442_at,3.390941142,3.365385854,3.202400048,3.317262523,2.800639803,3.964725152
AT1G02320,,259413_at,1.796958175,1.837056561,1.893185165,1.782224612,1.960506232,1.638782385
AT1G02330,,259415_at,7.592086798,7.258090078,7.284397346,7.679577208,7.645549562,7.420275478
AT1G02340,HFR1,259417_at,4.617969911,4.978661405,5.140839207,4.95316752,4.532963449,5.264884668
AT1G02360,,259443_at,8.02552384,8.21123581,8.384598708,8.130452052,8.280886302,8.667681939
AT1G02370,,259444_at,6.508875819,6.300152212,6.53853822,6.567853017,6.554572596,6.237209136
AT1G02390,GPAT2,259418_at,4.404935657,4.232451756,4.513575001,4.439511588,4.60521823,3.939477621
AT1G02400,GA2OX6,259445_at,5.278695016,6.377544035,6.45429851,5.450834651,5.363274465,6.726088588
AT1G02410,COX11,259446_at,7.255897499,7.33302341,7.415223493,7.321533708,7.326471571,7.423003466
AT1G02420,,259414_at,4.823528799,4.532639639,4.749060082,4.612527408,4.85212847,4.421708133
AT1G02450,NIMIN-1,260904_at,2.605930615,2.481816571,2.539723312,2.432181354,2.803156923,2.453636189
AT1G02460,,260903_at,5.730947563,5.444509436,5.90414067,5.428537264,5.631413738,5.473878868
AT1G02470,,260933_at,2.937861422,3.22813194,3.128799935,3.118557241,2.714680227,2.912131961
AT1G02475,,260916_at,3.75598636,4.002249148,4.15593319,3.965921538,4.146390769,4.185713412
AT1G02490,,260911_at,2.835236512,2.800318133,2.824876596,2.612295288,2.717711345,2.779260172
AT1G02500,SAM1,260913_at,11.30964977,11.41519408,11.47037492,11.40319656,11.39977734,11.59328679
AT1G02540,,260906_at,2.075566416,2.118247849,1.970818778,2.047864825,2.125286753,1.942211
AT1G02550,,260931_at,3.546363328,3.488734246,3.50546536,3.604676559,3.268343687,3.431825573
AT1G02560,CLPP5,260912_at,8.502472183,8.461811085,8.539075261,8.472782127,8.515377446,8.402448968
AT1G02575,,260907_at,4.776713845,4.255698833,4.404851509,4.555856713,4.906621565,4.209695761
AT1G02580,MEA,260908_at,3.589444629,3.141308692,3.158313522,3.257044649,3.243099948,3.209735739
AT1G02620,,260930_at,3.559440877,3.452278257,3.338343833,3.369139387,3.642479174,3.461768742
AT1G02640,BXL2,260914_at,6.114571794,6.148011349,6.303216602,6.199527731,6.320903822,6.331597584
AT1G02660,,260915_at,3.949233755,4.158799812,3.931457942,3.766504349,3.544417651,3.99947322
AT1G02670,,260909_at,2.806000504,2.801072145,2.866789895,2.713654297,2.980159334,2.976457516
AT1G02680,TAF13,260929_at,5.373949956,5.552828043,5.547087141,5.768122068,5.33812552,5.41443821
AT1G02690,IMPA-6,260910_at,7.988769483,7.953509081,7.783286101,7.697377043,7.862078694,7.765647287
AT1G02700,,260917_at,2.510689417,2.523893559,2.736484273,2.598611336,2.692374898,2.524165147
AT1G02710,,260905_at,4.482224444,4.294213,4.248647765,4.000429109,4.127491457,3.703237655
AT1G02720,GATL5,260928_at,5.724545982,5.668666867,5.769585896,5.585699581,5.667139577,5.693636538
AT1G02730,CSLD5,262109_at,6.629826719,6.608268795,6.467406588,6.55947017,6.635178589,6.540269215
AT1G02740,MRG2,262108_at,4.500691946,4.695185945,4.897276402,4.643345559,4.655858664,4.816125048
AT1G02750,DI19-2,262107_at,5.169838533,5.487622398,5.330113821,5.448953013,5.349110349,5.580301381
AT1G02780,RPL19A,262117_at,12.58306572,12.46836062,12.51050735,12.65048154,12.56870468,12.48148024
AT1G02790,PGA3,262122_at,2.876495712,2.668301146,2.815073639,2.60209392,3.036553548,2.520700558
AT1G02800,CEL2,262121_at,3.296772356,3.09282075,2.863903751,3.000937865,2.940823524,2.916319531
AT1G02810,PME7,262105_at,8.078410711,8.0487635,8.03572992,8.129076223,8.044459686,7.885542526
AT1G02813,,262115_at,4.008874272,4.119977154,3.94340456,3.942396518,3.895858062,3.888633151
AT1G02816,,262116_at,8.124254608,7.754535582,7.810840605,8.177026153,8.000507753,7.880236355
AT1G02820,LEA2,262113_at,3.105940034,2.930973339,3.077885959,3.508986624,3.033048974,3.443810359
AT1G02830,RPL22A,262132_at,2.966299174,2.63375308,2.454592329,2.626278738,2.757319134,2.461933681
AT1G02840,SR34,262110_at,8.7702854,8.949583908,8.887560379,9.023343684,8.913741792,8.664198113
AT1G02850,BGLU11,262118_at,7.361931084,8.92932466,8.891006394,7.246769628,7.392011427,8.921119507
AT1G02860,BAH1,262114_at,4.165220353,4.156180457,4.531593287,4.118260129,4.353547087,4.532071239
AT1G02870,,262112_at,8.768756508,8.475314456,8.636154088,8.911652023,8.880060145,8.301145757
AT1G02890,,262130_at,6.668670713,6.957315089,7.045230599,6.749166278,6.631399776,6.930599923
AT1G02900,RALF1,262131_at,9.096357704,9.90945125,10.02846365,9.26655203,9.148607571,10.23712915
AT1G02910,LPA1,262104_at,5.250564623,5.45529382,5.514140609,5.304526938,5.154746575,5.57702016
AT1G02940,ATGSTF5,262103_at,2.129116436,2.002061675,2.119949852,2.047864825,2.273076377,1.929231539
AT1G02950,ATGSTF4,262120_at,3.631578484,5.243462771,4.504468274,3.819030443,3.217941355,5.165022719
AT1G02960,,262111_at,6.015223815,6.028226477,5.799240666,6.030739323,5.967166067,5.788246181
AT1G02970,WEE1,262106_at,5.39158556,5.467405025,5.357203878,5.454245475,5.395590953,4.991132557
AT1G02980,CUL2,262102_at,2.432536888,2.456559432,2.35612856,2.300798056,2.679746831,2.298966957
AT1G03000,PEX6,263170_at,5.576406778,5.831452232,5.536911211,5.524641623,5.636493197,5.539074142
AT1G03010,,263169_at,2.585047006,2.576555155,2.411755617,2.772172991,2.585062074,2.702043853
AT1G03020,GRXS1,263168_at,2.363151218,2.133187492,2.245944158,2.262641431,2.293566485,2.228628979
